"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","登録路線","登録回","登録日","開駅日","外部リンク","営業時間","所属路線","本線標識の表記","供用開始日","起点からの距離","接続する一般道","通行台数","備考","専門分野","管理運営","開館","位置","アクセス"
"道の駅丹波マーケス","たんばマーケス丹波マーケス（たんばマーケス）船井郡京丹波町国道9号京都-06 ","https://ja.wikipedia.org/wiki/道の駅丹波マーケス","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯35度9分17.0秒東経135度25分43.3秒","〒622-0213京都府船井郡京丹波町須知色紙田3-5","国道9号","第14回（26006）","1998年4月17日","1997年","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","10:00 - 20:00","","","","","","","","","","","",""
"道の駅瑞穂の里・さらびき","みずほのさとさらびき瑞穂の里・さらびき（みずほのさとさらびき）船井郡京丹波町国道173号京都-07 ","https://ja.wikipedia.org/wiki/道の駅瑞穂の里・さらびき","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯35度10分02秒東経135度21分41秒","〒622-0322京都府船井郡京丹波町大朴休石10-1","国道173号","第14回（26008）","1998年4月17日","不明","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 19:00（7月20日 - 8月31日）9:00 - 18:00（9月1日- 7月19日）","","","","","","","","","","","",""
"道の駅農匠の郷やくの","のうしょうのさとやくの農匠の郷やくの（のうしょうのさとやくの）福知山市国道9号市道中央線京都-08 ","https://ja.wikipedia.org/wiki/道の駅農匠の郷やくの","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯35度20分18.0秒東経134度55分45.2秒","〒629-1322京都府福知山市夜久野町平野2150番地","国道9号","第18回（26009）","2002年8月13日","1999年4月15日","国土交通省案内ページ全国道の駅連絡会ページ","10:00 - 17:00","","","","","","","","","","","",""
"道の駅舞鶴港とれとれセンター","まいづるこうとれとれセンター舞鶴港とれとれセンター（まいづるこうとれとれセンター）舞鶴市国道175号京都-09 ","https://ja.wikipedia.org/wiki/道の駅舞鶴港とれとれセンター","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯35度27分01秒東経135度18分52秒","〒624-0946京都府舞鶴市下福井905番地","国道175号","第18回（26009）","2002年8月13日","2003年3月31日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 17:00","","","","","","","","","","","",""
"道の駅京都新光悦村","きょうとしんこうえつむら京都新光悦村（きょうとしんこうえつむら）南丹市府道19号園部平屋線京都-10 ","https://ja.wikipedia.org/wiki/道の駅京都新光悦村","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯35度07分26秒東経135度28分56秒","〒622-0025京都府南丹市園部町曽我谷縄手15-3","京都府道19号","第18回（26010）","2002年8月13日","2003年7月17日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 18:00","","","","","","","","","","","",""
"道の駅丹後王国「食のみやこ」","たんごおうこくしょくのみやこ丹後王国「食のみやこ」（たんごおうこくしょくのみやこ）京丹後市府道53号網野岩滝線京都-11旧駅名「丹後あじわいの郷」（たんごあじわいのさと）","https://ja.wikipedia.org/wiki/道の駅丹後王国「食のみやこ」","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯35度40分28秒東経135度04分05秒","〒627-0133京都府京丹後市弥栄町鳥取123","京都府道53号","第19回（26011）","2003年8月8日","1998年4月","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 21:00（1月 - 3月中旬の平日は17:00まで）","","","","","","","","","","","",""
"道の駅美山ふれあい広場","みやまふれあいひろば美山ふれあい広場（みやまふれあいひろば）南丹市国道162号京都-12 ","https://ja.wikipedia.org/wiki/道の駅美山ふれあい広場","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯35度16分38秒東経135度35分17秒","〒601-0722京都府南丹市美山町安掛下23","国道162号","第21回（26012）","2005年8月10日","2002年9月1日","国土交通省案内ページ全国道の駅連絡会ページ","8:00 - 18:00（4 - 9月）8:00 - 17:00（10- 12月）8:30 - 17:00（1 - 3月）","","","","","","","","","","","",""
"道の駅ウッディー京北","うっでぃーけいほくウッディー京北（ウッディーけいほく）京都市右京区国道162号国道477号京都-13 ","https://ja.wikipedia.org/wiki/道の駅ウッディー京北","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯35度09分22秒東経135度37分59秒","〒601-0251京都府京都市右京区京北周山町上寺田1-1","国道162号","第33回（26013）","2010年3月1日","2010年4月17日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 18:00","","","","","","","","","","","",""
"道の駅くみはまSANKAIKAN","くみはまSANKAIKAN（くみはまさんかいかん）京丹後市国道178号京都-14 ","https://ja.wikipedia.org/wiki/道の駅くみはまSANKAIKAN","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯35度37分50秒東経134度55分55秒","〒629-3438京都府京丹後市久美浜町浦明1709","国道178号","第35回（260014）","2011年3月3日","不明","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","8:00 - 17:00","","","","","","","","","","","",""
"道の駅スプリングスひよし","すぷりんぐすひよしスプリングスひよし南丹市府道19号園部平屋線京都-15 ","https://ja.wikipedia.org/wiki/道の駅スプリングスひよし","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯35度09分09秒東経135度31分04秒","〒629-0335京都府南丹市日吉町中宮ノ向8番地","京都府道19号","第36回（260015）","2011年8月25日","1998年","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","10:00 - 21:00","","","","","","","","","","","",""
"道の駅京丹波 味夢の里","きょうたんばあじむのさと京丹波 味夢の里（きょうたんばあじむのさと）船井郡京丹波町国道478号京都縦貫自動車道京都-16京都縦貫自動車道京丹波PAに併設[2]府道444号からも利用可能","https://ja.wikipedia.org/wiki/道の駅京丹波_味夢の里","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯35度09分19.6秒東経135度24分48.6秒","〒622-0232京都府船井郡京丹波町曽根北緯35度09分19.6秒東経135度24分48.6秒座標:北緯35度09分19.6秒 東経135度24分48.6秒","","","","","","",".mw-parser-output .jaexpsign{text-align:center;background-color:#00702C;color:white}.mw-parser-output .jaroadsign{text-align:center;background-color:blue;color:white}.mw-parser-output .roadname{width:250px;border-radius:10px;padding:1em;margin:0.2em auto}.mw-parser-output .roadname p{margin:5px auto}.mw-parser-output .routenumber{display:inline-block;min-width:2em;border-radius:4px;padding-left:0.25em;padding-right:0.25em;font-weight:bold}E9京都縦貫自動車道（丹波綾部道路）","京丹波","2015年（平成27年）7月18日","50.6 km（宮津天橋立IC起点）","","","道の駅 京丹波 味夢の里併設","","","","",""
"道の駅海の京都 宮津","うみのきょうとみやづ海の京都 宮津（うみのきょうとみやづ）宮津市国道176号京都-17 ","https://ja.wikipedia.org/wiki/道の駅海の京都_宮津","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯35度32分17秒東経135度11分39秒","〒626-0012京都府宮津市字浜町3007番地他","国道176号","第44回（26017）","2015年11月5日","2015年11月5日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 18:00","","","","","","","","","","","",""
"道の駅お茶の京都みなみやましろ村","おちゃのきょうとみなみやましろむらお茶の京都 みなみやましろ村（おちゃのきょうとみなみやましろむら）相楽郡南山城村国道163号京都-18 ","https://ja.wikipedia.org/wiki/道の駅お茶の京都みなみやましろ村","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯34度45分55秒東経136度01分28秒","〒619-1411京都府相楽郡南山城村北大河原殿田102","国道163号","第46回（26018）","2016年10月7日","2017年4月15日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 18:00","","","","","","","","","","","",""
"道の駅ちはやあかさか","ちはやあかさか南河内郡千早赤阪村国道309号村道水分延命寺線大阪-01 ","https://ja.wikipedia.org/wiki/道の駅ちはやあかさか","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯34度27分51秒東経135度37分33秒","〒585-0042大阪府南河内郡千早赤阪村二河原辺7","国道309号","第1回（27001）","1993年4月22日","不明","国土交通省案内ページ全国道の駅連絡会ページ","9:00 - 17:00","","","","","","","","","","","",""
"道の駅近つ飛鳥の里太子","ちかつあすかのさとたいし近つ飛鳥の里・太子（ちかつあすかのさとたいし）南河内郡太子町国道166号大阪-02 ","https://ja.wikipedia.org/wiki/道の駅近つ飛鳥の里太子","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯34度31分00秒東経135度39分30秒","〒583-0992大阪府南河内郡太子町山田2265-1","国道166号","第11回（27002）","1996年8月5日","不明","国土交通省案内ページ全国道の駅連絡会ページ","9:00 - 17:00","","","","","","","","","","","",""
"道の駅能勢（くりの郷）","のせ能勢（くりの郷）（のせくりのさと）豊能郡能勢町国道173号大阪-03 ","https://ja.wikipedia.org/wiki/道の駅能勢（くりの郷）","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯34度57分24秒東経135度24分04秒","〒563-0364大阪府豊能郡能勢町平野535","国道173号","第16回（27003）","2000年8月18日","2001年4月1日","国土交通省案内ページ全国道の駅連絡会ページ","9：00 - 18：00（4 - 10月）9：00 - 17：00（11 - 3月）","","","","","","","","","","","",""
"道の駅かなん","かなん南河内郡河南町国道309号大阪-04 ","https://ja.wikipedia.org/wiki/道の駅かなん","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯34度28分42秒東経135度37分01秒","〒585-0034大阪府南河内郡河南町神山523-1","国道309号","第19回（27004）","2003年8月8日","2004年4月","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 17:00","","","","","","","","","","","",""
"道の駅しらとりの郷・羽曳野","しらとりの郷・羽曳野（しらとりのさとはびきの）羽曳野市府道32号美原太子線大阪-05 ","https://ja.wikipedia.org/wiki/道の駅しらとりの郷・羽曳野","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯34度31分59秒東経135度35分16秒","〒583-0866大阪府羽曳野市埴生野975-3","大阪府道32号","第22回（27005）","2006年8月10日","2007年6月27日","国土交通省案内ページ全国道の駅連絡会ページ","9:30 - 18:00","","","","","","","","","","","",""
"道の駅いずみ山愛の里","いずみ山愛の里（いずみやまあいのさと）和泉市国道170号大阪-06 ","https://ja.wikipedia.org/wiki/道の駅いずみ山愛の里","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯34度25分23秒東経135度28分59秒","〒594-1136大阪府和泉市仏並町398-1","国道170号","第27回（27006）","2008年5月19日","2008年7月20日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 17:00","","","","","","","","","","","",""
"道の駅とっとパーク小島","とっとパーク小島（とっとパークこしま）泉南郡岬町府道65号岬加太港線大阪-07 ","https://ja.wikipedia.org/wiki/道の駅とっとパーク小島","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯34度18分55秒東経135度06分00秒","〒599-0314大阪府泉南郡岬町多奈川小島455-1","大阪府道65号岬加太港線","第30回（27007）","2009年3月12日","2009年3月24日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","3月 - 11月 6:00 - 20:0012月 - 2月 7:00 - 18:00","","","","","","","","","","","",""
"道の駅愛彩ランド","あいさいランド愛彩ランド（あいさいランド）岸和田市国道170号大阪-08 ","https://ja.wikipedia.org/wiki/道の駅愛彩ランド","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯34度25分20.4秒東経135度25分33.1秒","〒596-0815大阪府岸和田市岸の丘町3-6-18","国道170号","第35回（27008）","2011年3月23日","2011年4月5日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","10:00 - 18:00","","","","","","","","","","","",""
"道の駅みさき","みさき泉南郡岬町国道26号大阪-09 ","https://ja.wikipedia.org/wiki/道の駅みさき","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯34度19分34秒東経135度10分27秒","〒599-0301大阪府泉南郡岬町淡輪5654番地の3","国道26号","第46回（27009）","2016年10月7日[1]","2017年4月2日[2]","国土交通省案内ページ全国道の駅連絡会ページ","","","","","","","","","","","","",""
"道の駅奥河内くろまろの郷","おくかわちくろまろのさと奥河内くろまろの郷（おくかわちくろまろのさと）河内長野市国道170号市道宮ノ下線大阪-10 ","https://ja.wikipedia.org/wiki/道の駅奥河内くろまろの郷","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","","〒586-0036大阪府河内長野市高向1218番地1","国道170号・市道宮ノ下線","第47回（27010）","2017年4月21日","2017年5月27日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","","","","","","","","","","","","",""
"道の駅はが (兵庫県)","はが宍粟市国道29号兵庫-01 ","https://ja.wikipedia.org/wiki/道の駅はが_(兵庫県)","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯35度12分06秒東経134度31分20秒","〒671-4213兵庫県宍粟市波賀町原149","国道29号","第1回（28001）","1993年4月22日","不明","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 19:00","","","","","","","","","","","",""
"道の駅あさご","あさご朝来市国道312号兵庫-02 ","https://ja.wikipedia.org/wiki/道の駅あさご","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯35度14分49秒東経134度48分14秒","〒679-3423兵庫県朝来市多々良木字牧野213-1","国道312号","第1回（28003）","1993年4月22日","不明","国土交通省案内ページ全国道の駅連絡会ページ","8:00 - 17:00","","","","","","","","","","","",""
"道の駅ちくさ","ちくさ宍粟市県道72号若桜下三河線兵庫-03 ","https://ja.wikipedia.org/wiki/道の駅ちくさ","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯35度06分29秒東経134度26分31秒","〒671-3225兵庫県宍粟市千種町下河野745-5","兵庫県道72号若桜下三河線","第1回（28004）","1993年4月22日","不明","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","8:30 - 18:00","","","","","","","","","","","",""
"道の駅神鍋高原","かんなべこうげん神鍋高原（かんなべこうげん）豊岡市国道482号兵庫-04 ","https://ja.wikipedia.org/wiki/道の駅神鍋高原","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯35度29分57秒東経134度40分30秒","〒669-5372兵庫県豊岡市日高町栗栖野59-13","国道482号","第1回（28005）","1993年4月22日","不明","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 21:00（4 - 10月）9:00 - 20:00（11 - 3月）","","","","","","","","","","","",""
"道の駅村岡ファームガーデン","むらおかファームガーデン村岡ファームガーデン（むらおかファームガーデン）美方郡香美町国道9号兵庫-05 ","https://ja.wikipedia.org/wiki/道の駅村岡ファームガーデン","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯35度27分42.5秒東経134度36分10.5秒","〒667-1321兵庫県美方郡香美町村岡区大糠32-1","国道9号","第1回（28006）","1993年4月22日","不明","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 19:00","","","","","","","","","","","",""
"道の駅やぶ","やぶ養父市県道104号物部藪崎線兵庫-06 ","https://ja.wikipedia.org/wiki/道の駅やぶ","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯35度22分56秒東経134度48分57秒","〒667-0112兵庫県養父市養父市場1294-77","兵庫県道104号","第4回","1994年3月31日","不明","国土交通省案内ページ全国道の駅連絡会ページ","10:00 - 19:00（年末年始のみ、開店変更有り）","","","","","","","","","","","",""
"道の駅但馬楽座","たじまらくざ但馬楽座（たじまらくざ）養父市国道9号兵庫-07 ","https://ja.wikipedia.org/wiki/道の駅但馬楽座","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯35度22分45.5秒東経134度47分2.6秒","〒667-0131兵庫県養父市上野299","国道9号","第10回（28008）","1996年4月16日","不明","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 20:00","","","","","","","","","","","",""
"道の駅みなみ波賀","みなみ波賀（みなみはが）宍粟市国道29号兵庫-08 ","https://ja.wikipedia.org/wiki/道の駅みなみ波賀","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯35度08分54秒東経134度32分23秒","〒671-4241兵庫県宍粟市波賀町安賀8-1","国道29号","第10回（28009）","1996年4月16日","不明","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 18:00","","","","","","","","","","","",""
"道の駅しんぐう","しんぐうたつの市国道179号兵庫-09 ","https://ja.wikipedia.org/wiki/道の駅しんぐう","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯34度55分20秒東経134度32分13秒","〒679-4342兵庫県たつの市新宮町平野99番地の2","国道179号","第11回（28010）","1996年8月5日","不明","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 19:00","","","","","","","","","","","",""
"道の駅杉原紙の里・多可","すぎはらがみのさとたか杉原紙の里・多可（すぎはらがみのさとたか）多可郡多可町国道427号兵庫-10 ","https://ja.wikipedia.org/wiki/道の駅杉原紙の里・多可","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯35度11分20秒東経134度55分48秒","〒679-1322兵庫県多可郡多可町加美区鳥羽733-1","国道427号","第11回（28011）","1996年8月5日","1996年10月6日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 17:30","","","","","","","","","","","",""
"道の駅あおがき","あおがき丹波市県道7号青垣柏原線兵庫-11 ","https://ja.wikipedia.org/wiki/道の駅あおがき","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯35度14分28秒東経135度00分36秒","〒669-3803兵庫県丹波市青垣町西芦田540番地","兵庫県道7号","第12回（28012）","1997年4月11日","不明","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","8:30 - 17:00","","","","","","","","","","","",""
"道の駅ハチ北","はちきたハチ北（ハチきた）美方郡香美町国道9号兵庫-12 ","https://ja.wikipedia.org/wiki/道の駅ハチ北","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯35度24分41.1秒東経134度35分59.2秒","〒667-1334兵庫県美方郡香美町村岡区福岡608番地1","国道9号","第13回（28013）","1997年10月22日","不明","国土交通省案内ページ全国道の駅連絡会ページ","9:00 - 18:00","","","","","","","","","","","",""
"道の駅あわじ","あわじ淡路市県道31号福良江井岩屋線兵庫-13 ","https://ja.wikipedia.org/wiki/道の駅あわじ","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯34度36分05秒東経135度00分34秒","〒656-2401兵庫県淡路市岩屋1873-1","兵庫県道31号","第13回（28014）","1997年10月22日","不明","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 18:00","","","","","","","","","","","",""
"道の駅みき","みき三木市国道175号兵庫-14 ","https://ja.wikipedia.org/wiki/道の駅みき","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯34度47分15秒東経134度58分38秒","〒673-0433兵庫県三木市福井字三木山2426番地先","国道175号","第14回（28015）","1998年4月17日","不明","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 20:00","","","","","","","","","","","",""
"道の駅うずしお","うずしお南あわじ市県道237号鳴門観潮線兵庫-15 ","https://ja.wikipedia.org/wiki/道の駅うずしお","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯34度14分31秒東経134度39分35秒","〒656-0503兵庫県南あわじ市福良丙947-22","兵庫県道237号","第14回（28016）","1998年4月17日","不明","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 17:00","","","","","","","","","","","",""
"道の駅播磨いちのみや","はりまいちのみや播磨いちのみや（はりまいちのみや）宍粟市国道29号兵庫-16 ","https://ja.wikipedia.org/wiki/道の駅播磨いちのみや","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯35度05分18秒東経134度35分18秒","〒671-4133兵庫県宍粟市一宮町須行名","国道29号","第15回（28017）","1999年8月27日","不明","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 18:00","","","","","","","","","","","",""
"道の駅フレッシュあさご","ふれっしゅあさごフレッシュあさご朝来市国道312号播但連絡道路兵庫-17播但連絡道路朝来SAに併設国道312号からの利用可能","https://ja.wikipedia.org/wiki/道の駅フレッシュあさご","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯35度12分47秒東経134度47分40秒","〒679-3433兵庫県朝来市岩津96番地",".mw-parser-output .jaexpsign{text-align:center;background-color:#00702C;color:white}.mw-parser-output .jaroadsign{text-align:center;background-color:blue;color:white}.mw-parser-output .roadname{width:250px;border-radius:10px;padding:1em;margin:0.2em auto}.mw-parser-output .roadname p{margin:5px auto}.mw-parser-output .routenumber{display:inline-block;min-width:2em;border-radius:4px;padding-left:0.25em;padding-right:0.25em;font-weight:bold}E95播但連絡道路国道312号","第15回（28018）","1999年8月27日","2000年5月27日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 20:00","","","","","","","","","","","",""
"道の駅宿場町ひらふく","しゅくばまちひらふく宿場町ひらふく（しゅくばまちひらふく）佐用郡佐用町国道373号兵庫-18 ","https://ja.wikipedia.org/wiki/道の駅宿場町ひらふく","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯35度02分41秒東経134度22分10秒","〒679-5331兵庫県佐用郡佐用町平福988-1","国道373号","第15回（28019）","1999年8月27日","1999年9月15日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","8:30 - 19:00","","","","","","","","","","","",""
"道の駅あゆの里矢田川","あゆの里矢田川（あゆのさとやたがわ）美方郡香美町県道4号香住村岡線兵庫-19 ","https://ja.wikipedia.org/wiki/道の駅あゆの里矢田川","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯35度33分24秒東経134度34分14秒","〒667-1361兵庫県美方郡香美町村岡区長瀬933-1","兵庫県道4号","第15回（28020）","1999年8月27日","不明","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 18:00","","","","","","","","","","","",""
"道の駅とうじょう","とうじょう加東市県道313号平木南山線兵庫-20 ","https://ja.wikipedia.org/wiki/道の駅とうじょう","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","","〒673-1341兵庫県加東市南山1丁目5番地1","兵庫県道313号","第15回（28021）","1999年8月27日","不明","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 19:00","","","","","","","","","","","",""
"道の駅いながわ","いながわ川辺郡猪名川町県道12号川西篠山線兵庫-21 ","https://ja.wikipedia.org/wiki/道の駅いながわ","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯34度55分11秒東経135度21分06秒","〒666-0224兵庫県川辺郡猪名川町万善字竹添70-1","兵庫県道12号","第16回（28022）","2000年8月18日","不明","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 20:00","","","","","","","","","","","",""
"道の駅東浦ターミナルパーク","ひがしうらターミナルパーク東浦ターミナルパーク（ひがしうらターミナルパーク）淡路市国道28号兵庫-22 ","https://ja.wikipedia.org/wiki/道の駅東浦ターミナルパーク","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯34度32分15秒東経134度59分33秒","〒656-2305兵庫県淡路市浦648番地","国道28号","第17回（28023）","2001年8月21日","不明","国土交通省案内ページ全国道の駅連絡会ページ","9:00 - 18:30","","","","","","","","","","","",""
"道の駅北はりまエコミュージアム","きたはりまエコミュージアム北はりまエコミュージアム（きたはりまエコミュージアム）西脇市国道175号兵庫-23 ","https://ja.wikipedia.org/wiki/道の駅北はりまエコミュージアム","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯35度00分28秒東経134度59分13秒","〒677-0022兵庫県西脇市寺内字天神池517番地1","国道175号","第17回（28024）","2001年8月21日","不明","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 19:00（3 - 11月）9:00 - 18:00（12 - 1月）","","","","","","","","","","","",""
"道の駅あいおい白龍城","あいおい白龍城（あいおいペーロンじょう）相生市国道250号兵庫-24 ","https://ja.wikipedia.org/wiki/道の駅あいおい白龍城","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯34度48分15秒東経134度27分43秒","〒678-0053兵庫県相生市那波南本町8-55","国道250号","第17回（28025）","2001年8月21日","不明","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:30 - 17:30","","","","","","","","","","","",""
"道の駅淡河","おうご淡河（おうご）神戸市北区県道38号三木三田線兵庫-25 ","https://ja.wikipedia.org/wiki/道の駅淡河","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯34度48分48秒東経135度05分50秒","〒651-1603兵庫県神戸市北区淡河町淡河字弘法垣643番1","兵庫県道38号","第18回（28026）","2002年8月13日","2003年4月","国土交通省案内ページ全国道の駅連絡会ページ","10:00 - 17:00","","","","","","","","","","","",""
"道の駅丹波おばあちゃんの里","たんばおばあちゃんのさと丹波おばあちゃんの里（たんばおばあちゃんのさと）丹波市国道175号兵庫-26舞鶴若狭自動車道春日ICに隣接","https://ja.wikipedia.org/wiki/道の駅丹波おばあちゃんの里","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯35度09分58秒東経135度06分59秒","〒669-3803兵庫県丹波市春日町七日市710","国道175号","第21回（28027）","2005年8月10日","2006年4月8日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","8:30 - 18:30（3 - 10月）8:30 - 18:00（11 - 2月）","","","","","","","","","","","",""
