"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","登録路線","登録回","登録日","開駅日","外部リンク","営業時間","所属路線","本線標識の表記","供用開始日","起点からの距離","接続する一般道","通行台数","備考","専門分野","管理運営","開館","位置","アクセス"
"道の駅越前","えちぜん越前（えちぜん）丹生郡越前町国道305号福井-12 ","https://ja.wikipedia.org/wiki/道の駅越前","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯35度55分12秒東経135度59分49秒","〒916-0422福井県丹生郡越前町厨71-335-1","国道305号","第40回（18012）","2013年10月11日[1]","2014年[2]11月15日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","11:00 - 21:00（平日）[3]10:00 - 21:00（土曜・祝日）10:00 - 20:00（日曜）","","","","","","","","","","","",""
"道の駅三方五湖","みかたごこ三方五湖（みかたごこ）三方上中郡若狭町国道162号福井-13 ","https://ja.wikipedia.org/wiki/道の駅三方五湖","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯35度33分36秒東経135度53分41秒","〒919-1331福井県三方上中郡若狭町鳥浜122-31-1","国道162号","第41回（18013）","2014年4月4日[1]","2015年3月21日[2]","国土交通省案内ページ全国道の駅連絡会ページ","9:00 - 18:00","","","","","","","","","","","",""
"道の駅一乗谷あさくら水の駅","いちじょうだにあさくらみずのえき一乗谷あさくら水の駅（いちじょうだにあさくらみずのえき）福井市県道31号篠尾勝山線福井-14 ","https://ja.wikipedia.org/wiki/道の駅一乗谷あさくら水の駅","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯36度01分13秒東経136度17分40秒","〒910-2151福井県福井市安波賀中島町第1号1番地1[1]","福井県道31号","第42回（18014）","2014年10月10日[2]","2015年4月4日[3]","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 18:00","","","","","","","","","","","",""
"道の駅禅の里","ぜんのさと禅の里（ぜんのさと）吉田郡永平寺町国道416号福井-15 ","https://ja.wikipedia.org/wiki/道の駅禅の里","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯36度04分48秒東経136度23分57秒","〒910-1312福井県吉田郡永平寺町清水第2号21番1[1]","国道416号","第44回（18015）","2015年11月5日[1]","2016年3月19日[2][3]","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","","","","","","","","","","","","",""
"道の駅恐竜渓谷かつやま","きょうりゅうけいこくかつやま恐竜渓谷かつやま（きょうりゅうけいこくかつやま）勝山市県道17号勝山丸岡線福井-16 ","https://ja.wikipedia.org/wiki/道の駅恐竜渓谷かつやま","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯36度4分19.4秒東経136度28分43.5秒","〒911-0044福井県勝山市荒土町松ヶ崎第1号17番地[1]","福井県道17号勝山丸岡線","第52回（18016）","2020年3月13日[1]","2020年6月20日[2][3][4]","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 17:00","","","","","","","","","","","",""
"道の駅越前おおの荒島の郷","えちぜんおおのあらしまのさと越前おおの荒島の郷（えちぜんおおのあらしまのさと）大野市国道158号福井-17","https://ja.wikipedia.org/wiki/道の駅越前おおの荒島の郷","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯35度58分21.4秒東経136度33分07.5秒","〒912-0823福井県大野市蕨生137-21-1","国道158号","第54回（18017）","2021年3月30日[1]","2021年4月22日[2][3][4]","国土交通省案内ページ全国道の駅連絡会ページ","9:00 - 18:00","","","","","","","","","","","",""
"道の駅南えちぜん山海里","みなみえちぜんさんかいり南えちぜん山海里（みなみえちぜんさんかいり）南条郡南越前町県道202号中小屋武生線福井-182021年度オープン予定[1]","https://ja.wikipedia.org/wiki/道の駅南えちぜん山海里","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","","〒919-0203福井県南条郡南越前町牧谷39-2-2","福井県道202号中小屋武生線","第54回（18018）","2021年3月30日[1]","2021年秋ごろ（予定）[2]","全国道の駅連絡会ページ","","","","","","","","","","","","",""
"道の駅あいの土山","あいの土山（あいのつちやま）甲賀市国道1号滋賀-01 ","https://ja.wikipedia.org/wiki/道の駅あいの土山","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯34度55分40秒東経136度17分44秒","〒528-0211滋賀県甲賀市土山町北土山2900","国道1号","第1回（25001）","1993年4月2日[1][2]","1993年2月[2]","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 18:00[2]","","","","","","","","","","","",""
"道の駅くつき新本陣","くつき新本陣（くつきしんほんじん）高島市国道367号滋賀-02 ","https://ja.wikipedia.org/wiki/道の駅くつき新本陣","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯35度21分04秒東経135度54分56秒","〒520-1401滋賀県高島市朽木市場777","国道367号","第1回（25002）","1993年4月22日","不明","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 17:00","","","","","","","","","","","",""
"道の駅しんあさひ風車村","しんあさひ風車村（しんあさひふうしゃむら）高島市県道333号安曇川今津線滋賀-03 ","https://ja.wikipedia.org/wiki/道の駅しんあさひ風車村","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯35度21分02秒東経136度04分01秒","〒520-1511滋賀県高島市新旭町藁園336","滋賀県道333号","第1回（25003）","1993年4月22日","不明","国土交通省案内ページ全国道の駅連絡会ページ","10:00 - 17:00","","","","","","","","","","","",""
"道の駅東近江市あいとうマーガレットステーション","ひがしおうみしあいとうマーガレットステーション東近江市あいとうマーガレットステーション（ひがしおうみしあいとうマーガレットステーション）東近江市国道307号滋賀-04 ","https://ja.wikipedia.org/wiki/道の駅東近江市あいとうマーガレットステーション","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯35度06分35秒東経136度15分32秒","〒527-0162滋賀県東近江市妹町184-1","国道307号","第10回（25004）","1996年4月16日","1995年10月15日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 18:00","","","","","","","","","","","",""
"道の駅びわ湖大橋米プラザ","びわ湖大橋米プラザ（びわこおおはしこめプラザ）大津市国道477号滋賀-05 ","https://ja.wikipedia.org/wiki/道の駅びわ湖大橋米プラザ","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯35度07分28秒東経135度55分42秒","〒520-0241滋賀県大津市今堅田3-1-1","国道477号","第11回（25005）","1996年8月5日","不明","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 17:00","","","","","","","","","","","",""
"道の駅近江母の郷","おうみははのさと近江母の郷（おうみははのさと）米原市県道2号大津能登川長浜線滋賀-06 ","https://ja.wikipedia.org/wiki/道の駅近江母の郷","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯35度20分37秒東経136度16分38秒","〒521-0062滋賀県米原市宇賀野1364-1","滋賀県道2号","第11回（25006）","1996年8月5日","不明","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:30 - 18:00","","","","","","","","","","","",""
"道の駅こんぜの里りっとう","こんぜの里りっとう（こんぜのさとりっとう）栗東市県道12号栗東信楽線滋賀-07 ","https://ja.wikipedia.org/wiki/道の駅こんぜの里りっとう","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯34度58分06秒東経136度02分21秒","〒520-3003滋賀県栗東市荒張1-11","滋賀県道12号","第11回（25007）","1996年8月5日","不明","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 17:00","","","","","","","","","","","",""
"道の駅湖北みずどりステーション","こほくみずどりステーション湖北みずどりステーション（こほくみずどりステーション）長浜市県道331号湖北長浜線滋賀-08 ","https://ja.wikipedia.org/wiki/道の駅湖北みずどりステーション","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯35度26分42秒東経136度11分27秒","〒529-0365滋賀県長浜市湖北町今西1731-1","滋賀県道331号","第18回（25008）","2002年8月13日","不明","国土交通省案内ページ全国道の駅連絡会ページ","9:00 - 18:00","","","","","","","","","","","",""
"道の駅草津","くさつ草津（くさつ）草津市県道559号近江八幡大津線滋賀-09 ","https://ja.wikipedia.org/wiki/道の駅草津","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯35度04分12秒東経135度56分22秒","〒525-0001滋賀県草津市下物町1436","滋賀県道559号","第18回（25009）","2002年8月13日","2003年4月[1]","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9：00 - 19：00（7 - 8月）9：00 - 18：00（9 - 6月）","","","","","","","","","","","",""
"道の駅竜王かがみの里","りゅうおうかがみのさと竜王かがみの里（りゅうおうかがみのさと）蒲生郡竜王町国道8号滋賀-10 ","https://ja.wikipedia.org/wiki/道の駅竜王かがみの里","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯35度05分09秒東経136度04分46秒","〒520-2573滋賀県蒲生郡竜王町大字鏡1231番地26","国道8号","第19回（25010）","2003年8月8日","2003年11月[1]","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:30 - 18:00","","","","","","","","","","","",""
"道の駅アグリの郷栗東","あぐりのさとりっとうアグリの郷栗東（アグリのさとりっとう）栗東市県道145号片岡栗東線滋賀-11 ","https://ja.wikipedia.org/wiki/道の駅アグリの郷栗東","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯35度02分19秒東経136度00分06秒","〒520-3041滋賀県栗東市出庭961-1","滋賀県道145号","第19回（25011）","2003年8月8日","不明","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:30 - 18:00","","","","","","","","","","","",""
"道の駅マキノ追坂峠","まきのおっさかとうげマキノ追坂峠（マキノおっさかとうげ）高島市国道161号滋賀-12 ","https://ja.wikipedia.org/wiki/道の駅マキノ追坂峠","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯35度28分52秒東経136度04分59秒","〒520-1811滋賀県高島市マキノ町海津897-27","国道161号","第20回（25012）","2004年8月9日","2004年10月22日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9：00 - 19：00（4 - 10月）9：00 - 18：00（11 - 3月）","","","","","","","","","","","",""
"道の駅藤樹の里あどがわ","とうじゅのさとあどがわ藤樹の里あどがわ（とうじゅのさとあどがわ）高島市国道161号滋賀-13 ","https://ja.wikipedia.org/wiki/道の駅藤樹の里あどがわ","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯35度19分34秒東経136度01分48秒","〒520-1221滋賀県高島市安曇川町青柳1162-1","国道161号","第21回（25013）","2005年8月10日","2006年6月16日[1]","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 18:00","","","","","","","","","","","",""
"道の駅伊吹の里","いぶきのさと伊吹の里（いぶきのさと）米原市県道40号山東本巣線滋賀-14 ","https://ja.wikipedia.org/wiki/道の駅伊吹の里","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯35度23分48秒東経136度22分16秒","〒521-0311滋賀県米原市伊吹1732-1","滋賀県道・岐阜県道40号山東本巣線","第21回（25014）","2005年8月10日","不明","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 18:00","","","","","","","","","","","",""
"道の駅塩津海道 あぢかまの里","しおつかいどうあぢかまのさと塩津海道 あぢかまの里（しおつかいどうあぢかまのさと）長浜市国道8号滋賀-15 ","https://ja.wikipedia.org/wiki/道の駅塩津海道_あぢかまの里","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯35度31分14秒東経136度09分46秒","〒529-0701滋賀県長浜市西浅井町塩津浜1765","国道8号","第32回（25015）","2009年7月31日","2006年10月","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9：00 - 17：00（3 - 11月）※土日祝は18：00まで9：00 - 16：00（12 - 2月）※土日祝は17：00まで","","","","","","","","","","","",""
