"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","登録路線","登録回","登録日","外部リンク","開駅日","営業時間","公式サイト","分類","運営者","前身","テーマ","キャッチコピー","面積","来園者数","開園","位置","Hidden","Hidden"
"道の駅小松オアシス","こまつオアシス小松オアシス（こまつオアシス）西条市国道11号愛媛-16松山自動車道石鎚山SAに隣接（ハイウェイオアシス）","https://ja.wikipedia.org/wiki/道の駅小松オアシス","道の駅一覧_四国地方","https://ja.wikipedia.org/wiki/道の駅一覧_四国地方","表形式","北緯33度53分01秒東経133度06分28秒","〒799-1101愛媛県西条市小松町新屋敷乙22-29","国道11号","第16回（38016）","2005年8月10日","国土交通省案内ページ全国道の駅連絡会ページ","不明","9:00 - 18:00","","","","","","","","","","","",""
"道の駅みかわ (愛媛県)","みかわ上浮穴郡久万高原町国道33号愛媛-17 ","https://ja.wikipedia.org/wiki/道の駅みかわ_(愛媛県)","道の駅一覧_四国地方","https://ja.wikipedia.org/wiki/道の駅一覧_四国地方","表形式","北緯33度36分51秒東経132度58分12秒","〒791-1501愛媛県上浮穴郡久万高原町上黒岩2840-1","国道33号","第16回（38017）","2000年8月18日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","不明","9:00 - 17:00","","","","","","","","","","","",""
"道の駅清流の里ひじかわ","せいりゅうのさとひじかわ清流の里ひじかわ（せいりゅうのさとひじかわ）大洲市国道197号愛媛-18 ","https://ja.wikipedia.org/wiki/道の駅清流の里ひじかわ","道の駅一覧_四国地方","https://ja.wikipedia.org/wiki/道の駅一覧_四国地方","表形式","北緯33度27分39秒東経132度40分37秒","〒797-1503愛媛県大洲市肱川町宇和川3030","国道197号","第17回（38018）","2001年8月21日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2001年12月1日","8:00 - 19:00","","","","","","","","","","","",""
"道の駅よしうみいきいき館","よしうみいきいき館（よしうみいきいきかん）今治市国道317号愛媛-19 ","https://ja.wikipedia.org/wiki/道の駅よしうみいきいき館","道の駅一覧_四国地方","https://ja.wikipedia.org/wiki/道の駅一覧_四国地方","表形式","北緯34度07分39秒東経133度01分19秒","〒794-2114愛媛県今治市吉海町名4520-2","国道317号","第18回（38019）","2002年8月13日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","1999年4月20日","9:00 - 18:00","","","","","","","","","","","",""
"道の駅風早の郷風和里","かざはやのさとふわり風早の郷風和里（かざはやのさとふわり）松山市国道196号愛媛-20EVスポット","https://ja.wikipedia.org/wiki/道の駅風早の郷風和里","道の駅一覧_四国地方","https://ja.wikipedia.org/wiki/道の駅一覧_四国地方","表形式","北緯33度59分48秒東経132度46分20秒","〒799-2408愛媛県松山市大浦119番地","国道196号","第18回（38020）","2002年8月13日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2003年3月","9:00 - 18:00（夏期）9:00 - 17:00（上記以外）","","","","","","","","","","","",""
"道の駅みま","みま宇和島市県道31号宇和三間線愛媛-21 ","https://ja.wikipedia.org/wiki/道の駅みま","道の駅一覧_四国地方","https://ja.wikipedia.org/wiki/道の駅一覧_四国地方","表形式","北緯33度17分11秒東経132度35分46秒","〒798-1114愛媛県宇和島市三間町務田180-1","愛媛県道31号","第19回（38021）","2003年8月8日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2003年7月19日","9:00 - 18:00","","","","","","","","","","","",""
"道の駅小田の郷せせらぎ","おだのさとせせらぎ小田の郷せせらぎ（おだのさとせせらぎ）喜多郡内子町国道380号愛媛-22 ","https://ja.wikipedia.org/wiki/道の駅小田の郷せせらぎ","道の駅一覧_四国地方","https://ja.wikipedia.org/wiki/道の駅一覧_四国地方","表形式","北緯33度34分07秒東経132度48分03秒","〒791-3502愛媛県喜多郡内子町寺村251番地1","国道380号","第21回（38022）","2005年8月10日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","不明","8:00 - 18:30","","","","","","","","","","","",""
"道の駅うわじま きさいや広場","うわじま きさいや広場（うわじまきさいやひろば）宇和島市国道320号愛媛-23 ","https://ja.wikipedia.org/wiki/道の駅うわじま_きさいや広場","道の駅一覧_四国地方","https://ja.wikipedia.org/wiki/道の駅一覧_四国地方","表形式","北緯33度13分21秒東経132度33分30秒","〒798-0006愛媛県宇和島市弁天町1丁目318-16","国道320号","第30回（38022）","2009年3月12日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2009年4月26日","9:00 - 18:00","","","","","","","","","","","",""
"道の駅霧の森","きりのもり霧の森（きりのもり）四国中央市県道5号川之江大豊線愛媛-24 ","https://ja.wikipedia.org/wiki/道の駅霧の森","道の駅一覧_四国地方","https://ja.wikipedia.org/wiki/道の駅一覧_四国地方","表形式","北緯33度55分27秒東経133度38分28秒","〒799-0301愛媛県四国中央市新宮町馬立4491-1","愛媛県道5号川之江大豊線","第34回（38024）","2010年8月9日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2011年3月1日","9:00 - 18:00","","","","","","","","","","","",""
"道の駅八幡浜みなっと","やわたはまみなっと八幡浜みなっと（やわたはまみなっと）八幡浜市県道27号八幡浜港線愛媛-25 ","https://ja.wikipedia.org/wiki/道の駅八幡浜みなっと","道の駅一覧_四国地方","https://ja.wikipedia.org/wiki/道の駅一覧_四国地方","表形式","北緯33度27分29秒東経132度25分06秒","〒796-0087愛媛県八幡浜市字沖新田1581番地23","愛媛県道27号","第39回（38025）","2013年3月27日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2013年4月12日[1]","9:00 - 21:30","","","","","","","","","","","",""
"道の駅津島やすらぎの里","つしまやすらぎのさと津島やすらぎの里（つしまやすらぎのさと）宇和島市県道4号宿毛津島線愛媛-26 ","https://ja.wikipedia.org/wiki/道の駅津島やすらぎの里","道の駅一覧_四国地方","https://ja.wikipedia.org/wiki/道の駅一覧_四国地方","表形式","北緯33度08分23秒東経132度31分14秒","〒798-3302愛媛県宇和島市津島町高田甲830-1","愛媛県道4号宿毛津島線","第41回（38026）","2014年4月4日[1]","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2014年4月25日（登録証伝達式）[1]","","","","","","","","","","","","",""
"道の駅どんぶり館","どんぶり館（どんぶりかん）西予市県道29号宇和野村線愛媛-27 ","https://ja.wikipedia.org/wiki/道の駅どんぶり館","道の駅一覧_四国地方","https://ja.wikipedia.org/wiki/道の駅一覧_四国地方","表形式","北緯33度21分17.9秒東経132度31分37.7秒","〒797-0013愛媛県西予市宇和町稲生118","愛媛県道29号","第41回（38027）","2014年4月4日[1]","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2014年4月25日（登録証伝達式）[1]","8:00 - 18:00","","","","","","","","","","","",""
"道の駅天空の郷さんさん","てんくうのさとさんさん天空の郷さんさん（てんくうのさとさんさん）上浮穴郡久万高原町国道33号愛媛-28 ","https://ja.wikipedia.org/wiki/道の駅天空の郷さんさん","道の駅一覧_四国地方","https://ja.wikipedia.org/wiki/道の駅一覧_四国地方","表形式","北緯33度39分40秒東経132度53分54秒","〒791-1202愛媛県上浮穴郡久万高原町入野1855番地6","国道33号","第41回（38028）","2014年4月4日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2014年4月22日","9:00 - 17:00","","","","","","","","","","","",""
"道の駅なかやま","なかやま伊予市国道56号愛媛-29 ","https://ja.wikipedia.org/wiki/道の駅なかやま","道の駅一覧_四国地方","https://ja.wikipedia.org/wiki/道の駅一覧_四国地方","表形式","北緯33度40分11.3秒東経132度41分41.4秒","〒791-3206愛媛県伊予市中山町中山子271","国道56号","第49回（38029）","2018年4月25日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2018年8月25日[1][2]","8:30 - 17:30","","","","","","","","","","","",""
"道の駅大杉","おおすぎ大杉（おおすぎ）長岡郡大豊町国道32号高知-01 ","https://ja.wikipedia.org/wiki/道の駅大杉","道の駅一覧_四国地方","https://ja.wikipedia.org/wiki/道の駅一覧_四国地方","表形式","北緯33度45分03秒東経133度39分48秒","〒789-0311高知県長岡郡大豊町杉743-1","国道32号","第1回（39001）","1993年4月22日","国土交通省案内ページ全国道の駅連絡会ページ","1993年","8:00 - 17:008:00 - 20:00（GW、夏期）","","","","","","","","","","","",""
"道の駅すくも","すくも宿毛市国道321号高知-02 ","https://ja.wikipedia.org/wiki/道の駅すくも","道の駅一覧_四国地方","https://ja.wikipedia.org/wiki/道の駅一覧_四国地方","表形式","北緯32度54分58秒東経132度42分45秒","〒788-0053高知県宿毛市坂ノ下1023-44","国道321号","第1回（39002）","1993年4月22日","国土交通省案内ページ全国道の駅連絡会ページ","不明","9:00 - 17:00","","","","","","","","","","","",""
"道の駅大月","おおつき大月（おおつき）幡多郡大月町国道321号高知-03 ","https://ja.wikipedia.org/wiki/道の駅大月","道の駅一覧_四国地方","https://ja.wikipedia.org/wiki/道の駅一覧_四国地方","表形式","北緯32度49分44秒東経132度42分34秒","〒788-0302高知県幡多郡大月町弘見2610","国道321号","第1回（39003）","1993年4月22日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","不明","8:30 - 17:00","","","","","","","","","","","",""
"道の駅四万十大正","しまんとたいしょう四万十大正（しまんとたいしょう）高岡郡四万十町国道381号高知-04 ","https://ja.wikipedia.org/wiki/道の駅四万十大正","道の駅一覧_四国地方","https://ja.wikipedia.org/wiki/道の駅一覧_四国地方","表形式","北緯33度10分58秒東経132度58分17秒","〒786-0301高知県高岡郡四万十町大正17-1","国道381号","第1回（39003）","1993年4月22日","国土交通省案内ページ全国道の駅連絡会ページ","不明","9:00 - 17:00","","","","","","","","","","","",""
"道の駅ゆすはら","ゆすはら高岡郡檮原町国道197号高知-05重点「道の駅」","https://ja.wikipedia.org/wiki/道の駅ゆすはら","道の駅一覧_四国地方","https://ja.wikipedia.org/wiki/道の駅一覧_四国地方","表形式","北緯33度23分18秒東経132度56分42秒","〒785-0621高知県高岡郡檮原町太郎川3799番地3","国道197号","第1回（39005）","1993年4月22日","国土交通省案内ページ全国道の駅連絡会ページ","不明","7:30 - 21:00","","","","","","","","","","","",""
"道の駅南国風良里","なんこくふらり南国風良里（なんこくふらり）南国市国道32号高知-06 ","https://ja.wikipedia.org/wiki/道の駅南国風良里","道の駅一覧_四国地方","https://ja.wikipedia.org/wiki/道の駅一覧_四国地方","表形式","北緯33度36分40秒東経133度38分31秒","〒783-0052高知県南国市左右山102-1","国道32号","第1回（39006）","1993年4月22日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","1999年6月26日","9:00 - 18:00","","","","","","","","","","","",""
"道の駅美良布","びらふ美良布（びらふ）香美市国道195号高知-07 ","https://ja.wikipedia.org/wiki/道の駅美良布","道の駅一覧_四国地方","https://ja.wikipedia.org/wiki/道の駅一覧_四国地方","表形式","北緯33度38分53秒東経133度46分57秒","〒781-4212高知県香美市香北町美良布1211","国道195号","第1回（39007）","1993年4月22日","国土交通省案内ページ全国道の駅連絡会ページ","不明","- 20:00","","","","","","","","","","","",""
"道の駅布施ヶ坂","ふせがさか布施ヶ坂（ふせがさか）高岡郡津野町国道197号高知-08 ","https://ja.wikipedia.org/wiki/道の駅布施ヶ坂","道の駅一覧_四国地方","https://ja.wikipedia.org/wiki/道の駅一覧_四国地方","表形式","北緯33度25分36秒東経133度05分58秒","〒785-0411高知県高岡郡津野町船戸654-1","国道197号","第8回（39008）","1995年4月11日","国土交通省案内ページ全国道の駅連絡会ページ","不明","8:30 - 18:00（4 - 11月、平日）7:30 - 18:00（4 - 11月、土日祝、7月中旬 - 8月末）9:00 - 17:30（12 - 3月、平日）8:00 - 17:30（12 - 3月、土日祝）","","","","","","","","","","","",""
"道の駅キラメッセ室戸","きらめっせむろとキラメッセ室戸（キラメッセむろと）室戸市国道55号高知-09 ","https://ja.wikipedia.org/wiki/道の駅キラメッセ室戸","道の駅一覧_四国地方","https://ja.wikipedia.org/wiki/道の駅一覧_四国地方","表形式","北緯33度18分23秒東経134度06分37秒","〒781-6833高知県室戸市吉良川町丙890-11","国道55号","第10回（39009）","1996年4月16日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","1996年","（3月 - 10月）8:30 - 20:00（11月 - 2月）8:30 - 19:30","","","","","","","","","","","",""
"道の駅土佐和紙工芸村","とさわしこうげいむら土佐和紙工芸村（とさわしこうげいむら）吾川郡いの町国道194号高知-10 ","https://ja.wikipedia.org/wiki/道の駅土佐和紙工芸村","道の駅一覧_四国地方","https://ja.wikipedia.org/wiki/道の駅一覧_四国地方","表形式","北緯33度34分25秒東経133度21分58秒","〒781-2136高知県吾川郡いの町鹿敷1226","国道194号","第10回（39010）","1996年4月16日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","不明","9:00 - 18:00","","","","","","","","","","","",""
"道の駅土佐さめうら","とささめうら土佐さめうら（とささめうら）土佐郡土佐町国道439号高知-11 ","https://ja.wikipedia.org/wiki/道の駅土佐さめうら","道の駅一覧_四国地方","https://ja.wikipedia.org/wiki/道の駅一覧_四国地方","表形式","北緯33度44分34秒東経133度32分39秒","〒781-3521高知県土佐郡土佐町田井448-2","国道439号","第13回（39011）","1997年10月22日","国土交通省案内ページ全国道の駅連絡会ページ","1998年","9:00 - 18:00","","","","","","","","","","","",""
"道の駅大山","おおやま大山（おおやま）安芸市国道55号高知-12 ","https://ja.wikipedia.org/wiki/道の駅大山","道の駅一覧_四国地方","https://ja.wikipedia.org/wiki/道の駅一覧_四国地方","表形式","北緯33度28分12.5秒東経133度56分38.5秒","〒784-0046高知県安芸市下山町黒ハエ1400","国道55号","第13回（39012）","1997年10月22日","国土交通省案内ページ全国道の駅連絡会ページ","不明","8:30 - 18:00（4 - 9月）8:30 - 17:00（10 - 3月）","","","","","","","","","","","",""
"道の駅かわうその里すさき","かわうその里すさき（かわうそのさとすさき）須崎市国道56号高知-13重点「道の駅」","https://ja.wikipedia.org/wiki/道の駅かわうその里すさき","道の駅一覧_四国地方","https://ja.wikipedia.org/wiki/道の駅一覧_四国地方","表形式","北緯33度23分16秒東経133度16分29秒","〒785-0022高知県須崎市下分甲263番地3","国道56号","第14回（39013）","1998年4月17日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","1999年","9:00 - 19:00（夏季の日祝）9:00 - 18:00（上記以外）","","","","","","","","","","","",""
"道の駅あぐり窪川","あぐり窪川（あぐりくぼかわ）高岡郡四万十町国道56号高知-14防災拠点化、非常用発電機、EVスポット","https://ja.wikipedia.org/wiki/道の駅あぐり窪川","道の駅一覧_四国地方","https://ja.wikipedia.org/wiki/道の駅一覧_四国地方","表形式","北緯33度13分52秒東経133度08分57秒","〒786-0026高知県高岡郡四万十町平串284-1","国道56号","第14回（39014）","1998年4月17日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","1999年4月18日","8:00 - 18:00","","","","","","","","","","","",""
"道の駅木の香","このか木の香（このか）吾川郡いの町国道194号高知-15 ","https://ja.wikipedia.org/wiki/道の駅木の香","道の駅一覧_四国地方","https://ja.wikipedia.org/wiki/道の駅一覧_四国地方","表形式","北緯33度46分47秒東経133度18分27秒","〒781-2615高知県吾川郡いの町桑瀬225番地24","国道194号","第15回（39015）","1999年8月27日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","不明","11:00 - 20:00","","","","","","","","","","","",""
"道の駅めじかの里土佐清水","めじかの里土佐清水（めじかのさととさしみず）土佐清水市国道321号高知-16EVスポット","https://ja.wikipedia.org/wiki/道の駅めじかの里土佐清水","道の駅一覧_四国地方","https://ja.wikipedia.org/wiki/道の駅一覧_四国地方","表形式","北緯32度47分37秒東経132度52分59秒","〒787-0450高知県土佐清水市三崎字西シリソメ671-1","国道321号","第15回（39016）","1999年8月27日","国土交通省案内ページ全国道の駅連絡会ページ","不明","8:30 - 17:00","","","","","","","","","","","",""
"道の駅やす","やす香南市国道55号高知-17夜須駅に併設","https://ja.wikipedia.org/wiki/道の駅やす","道の駅一覧_四国地方","https://ja.wikipedia.org/wiki/道の駅一覧_四国地方","表形式","北緯33度32分03秒東経133度45分13秒","〒781-5602高知県香南市夜須町千切537-90","国道55号","第17回（39017）","2001年8月21日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2002年6月29日","8:00 - 22:30","","","","","","","","","","","",""
"道の駅633美の里","むささびのさと633美の里（むささびのさと）吾川郡いの町国道194号高知-18 ","https://ja.wikipedia.org/wiki/道の駅633美の里","道の駅一覧_四国地方","https://ja.wikipedia.org/wiki/道の駅一覧_四国地方","表形式","北緯33度38分37秒東経133度19分42秒","〒781-2401高知県吾川郡いの町上八川甲1160番地2","国道194号","第18回（39018）","2002年8月13日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2003年4月27日","9:00 - 18:00","","","","","","","","","","","",""
"道の駅田野駅屋","たのえきーや田野駅屋（たのえきーや）安芸郡田野町国道55号高知-19田野駅に併設","https://ja.wikipedia.org/wiki/道の駅田野駅屋","道の駅一覧_四国地方","https://ja.wikipedia.org/wiki/道の駅一覧_四国地方","表形式","北緯33度25分49秒東経134度00分28秒","〒781-6410高知県安芸郡田野町上島田1431-1","国道55号","第19回（39019）","2003年8月8日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2003年7月13日","8:00 - 17:30","","","","","","","","","","","",""
"道の駅ビオスおおがた","びおすおおがたビオスおおがた幡多郡黒潮町国道56号高知-20 ","https://ja.wikipedia.org/wiki/道の駅ビオスおおがた","道の駅一覧_四国地方","https://ja.wikipedia.org/wiki/道の駅一覧_四国地方","表形式","北緯33度02分06秒東経133度01分37秒","〒789-1911高知県幡多郡黒潮町浮鞭953-1","国道56号","第21回（39020）","2005年8月10日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2005年6月19日","7:00 - 19:00","","","","","","","","","","","",""
"道の駅四万十とおわ","しまんととおわ四万十とおわ（しまんととおわ）高岡郡四万十町国道381号高知-21 ","https://ja.wikipedia.org/wiki/道の駅四万十とおわ","道の駅一覧_四国地方","https://ja.wikipedia.org/wiki/道の駅一覧_四国地方","表形式","北緯33度13分26秒東経132度50分08秒","〒786-0535高知県高岡郡四万十町十和川口62-9","国道381号","第23回（39021）","2007年3月1日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2007年7月1日","7:30 - 18:00（夏期）8:00 - 17:00（冬期）","","","","","","","","","","","",""
"道の駅なぶら土佐佐賀","なぶら土佐佐賀（なぶらとささが）幡多郡黒潮町国道56号高知-22 ","https://ja.wikipedia.org/wiki/道の駅なぶら土佐佐賀","道の駅一覧_四国地方","https://ja.wikipedia.org/wiki/道の駅一覧_四国地方","表形式","北緯33度05分12秒東経133度06分06秒","〒789-1721高知県幡多郡黒潮町佐賀1350番地","国道56号","第40回（39022）","2013年10月11日[1]","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2014年4月14日[2]","7:00 - 19:00","","","","","","","","","","","",""
"道の駅よって西土佐","よって西土佐（よってにしとさ）四万十市国道441号高知-23 ","https://ja.wikipedia.org/wiki/道の駅よって西土佐","道の駅一覧_四国地方","https://ja.wikipedia.org/wiki/道の駅一覧_四国地方","表形式","北緯33度10分23秒東経132度47分20秒","〒787-1601高知県四万十市西土佐江川崎2410-3","国道441号","第44回（39023）","2015年11月5日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2016年4月10日","","","","","","","","","","","","",""
"道の駅なかとさ","なかとさ高岡郡中土佐町県道25号中土佐佐賀線高知-24みなとオアシス久礼に併設","https://ja.wikipedia.org/wiki/道の駅なかとさ","道の駅一覧_四国地方","https://ja.wikipedia.org/wiki/道の駅一覧_四国地方","表形式","北緯33度19分24秒東経133度14分08秒","〒789-1301高知県高岡郡中土佐町久礼8645-2","高知県道25号","第47回（39024）","2017年4月21日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2017年7月15日[1][2][3]","9:00 - 19:00","","","","","","","","","","","",""
