"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","蔵書数","公式サイト","貸出数","事業主体","条例","来館者数","開館","ISIL","専門分野","延床面積","管理運営","年運営費","前身","職員数","位置","建物設計","貸出者数","館長"
"札幌市図書館","[札幌市澄川図書館] 札幌市図書館 （さっぽろしとしょかん）は、 北海道 札幌市 が図書館法第10条、札幌市図書館条例に基づき設置、運営する公立図書館である。札幌市内に10の常設図書館を有し、のべ約257万点の資料を収蔵している。中心となる中央図書館は 中央区 にある。","https://ja.wikipedia.org/wiki/札幌市図書館#澄川図書館","北海道の図書館一覧","https://ja.wikipedia.org/wiki/北海道の図書館一覧","箇条書き,制限あり","北緯43度1分48.3秒 東経141度20分25秒","札幌市（12館、29室、4コーナー、3カウンター）","2,567,257冊（2012年時点）","http://www.city.sapporo.jp/toshokan/index.html札幌市の図書館","7,243,740冊（2012年）","北海道札幌市","札幌市図書館条例(PDF)","2,011,666人（中央および地区10館の合計）（2012年）","","JP-1000032","総合","","","705,127千円（2012年）","","153人","","","",""
"札幌市図書館","[札幌市山の手図書館] 札幌市図書館 （さっぽろしとしょかん）は、 北海道 札幌市 が図書館法第10条、札幌市図書館条例に基づき設置、運営する公立図書館である。札幌市内に10の常設図書館を有し、のべ約257万点の資料を収蔵している。中心となる中央図書館は 中央区 にある。","https://ja.wikipedia.org/wiki/札幌市図書館#山の手図書館","北海道の図書館一覧","https://ja.wikipedia.org/wiki/北海道の図書館一覧","箇条書き,制限あり","北緯43度1分48.3秒 東経141度20分25秒","札幌市（12館、29室、4コーナー、3カウンター）","2,567,257冊（2012年時点）","http://www.city.sapporo.jp/toshokan/index.html札幌市の図書館","7,243,740冊（2012年）","北海道札幌市","札幌市図書館条例(PDF)","2,011,666人（中央および地区10館の合計）（2012年）","","JP-1000032","総合","","","705,127千円（2012年）","","153人","","","",""
"札幌市図書館","[札幌市曙図書館] 札幌市図書館 （さっぽろしとしょかん）は、 北海道 札幌市 が図書館法第10条、札幌市図書館条例に基づき設置、運営する公立図書館である。札幌市内に10の常設図書館を有し、のべ約257万点の資料を収蔵している。中心となる中央図書館は 中央区 にある。","https://ja.wikipedia.org/wiki/札幌市図書館#曙図書館","北海道の図書館一覧","https://ja.wikipedia.org/wiki/北海道の図書館一覧","箇条書き,制限あり","北緯43度1分48.3秒 東経141度20分25秒","札幌市（12館、29室、4コーナー、3カウンター）","2,567,257冊（2012年時点）","http://www.city.sapporo.jp/toshokan/index.html札幌市の図書館","7,243,740冊（2012年）","北海道札幌市","札幌市図書館条例(PDF)","2,011,666人（中央および地区10館の合計）（2012年）","","JP-1000032","総合","","","705,127千円（2012年）","","153人","","","",""
"江別市情報図書館","[江別市情報図書館[外 4] 江別市情報図書館 （えべつしじょうほうとしょかん）は、 北海道 江別市 に所在する 公立図書館 。","https://ja.wikipedia.org/wiki/江別市情報図書館","北海道の図書館一覧","https://ja.wikipedia.org/wiki/北海道の図書館一覧","箇条書き,制限あり","北緯43度05分29秒東経141度31分11秒","〒069-0815北海道江別市野幌末広町7","448,506冊（2018年度時点）","https://www.lib.city.ebetsu.hokkaido.jp/","810,832冊（2018年度）","江別市","江別市図書館条例（1989年3月制定）","","1989年（平成元年）8月","JP-1000070","総合","","","124,264,443円（2018年）","","45人","北緯43度05分29秒東経141度31分11秒﻿ / ﻿北緯43.09139度 東経141.51972度﻿ /43.09139; 141.51972座標:北緯43度05分29秒東経141度31分11秒﻿ / ﻿北緯43.09139度 東経141.51972度﻿ /43.09139; 141.51972","","191,683人（2018年度）",""
"千歳市立図書館","[千歳市立図書館[外 5] 千歳市立図書館 （ちとせしりつとしょかん、英語 : Chitose City Library）は、 北海道 千歳市 真町に所在する 公立図書館 。","https://ja.wikipedia.org/wiki/千歳市立図書館","北海道の図書館一覧","https://ja.wikipedia.org/wiki/北海道の図書館一覧","箇条書き,制限あり","","〒066-0046北海道千歳市真町2196番地の1","288,335冊（平成29年度時点）","http://library-city-chitose.jp/","656,356冊（平成29年度）","千歳市","千歳市立図書館条例","","1988年2月1日","JP-1000081","","2,815.586 m2","(株)山三ふじや","","","","","","",""
"恵庭市立図書館","[恵庭市立図書館[外 6] 恵庭市立図書館 （えにわしりつとしょかん）は、 北海道 恵庭市 恵み野 西5丁目に所在する 市立図書館 。 2017年 （平成29年） 4月1日 より 指定管理者制度 が導入され、 図書館流通センター が 指定管理者 となる予定である  。","https://ja.wikipedia.org/wiki/恵庭市立図書館","北海道の図書館一覧","https://ja.wikipedia.org/wiki/北海道の図書館一覧","箇条書き,制限あり","北緯42度54分21.6秒東経141度35分7.0秒","〒061-1373北海道恵庭市恵み野西5丁目10番2","304,812冊（2015年度時点）","opac.city.eniwa.hokkaido.jp/","60,490冊（2015年度）","恵庭市","恵庭市図書館条例（平成4年3月25日恵庭市条例第4号）","295,356人（2015年度）","1992年（平成4年）7月30日","JP-1000088","総合","2,081.84 m2","恵庭市教育部図書課","111,280千円*（2016年予算）","恵庭市民会館図書室","25人（学校司書除く、2016年5月1日現在）","北緯42度54分21.6秒東経141度35分7.0秒﻿ / ﻿北緯42.906000度 東経141.585278度﻿ /42.906000; 141.585278座標:北緯42度54分21.6秒東経141度35分7.0秒﻿ / ﻿北緯42.906000度 東経141.585278度﻿ /42.906000; 141.585278","北海道日建設計","","内藤和代（2015年11月現在）"
"北広島市図書館 (存在しないページ)","[北広島市図書館[外 7]大曲分館]","https://ja.wikipedia.org/w/index.php?title=北広島市図書館&amp;action=edit&amp;redlink=1","北海道の図書館一覧","https://ja.wikipedia.org/wiki/北海道の図書館一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"石狩市民図書館 (存在しないページ)","[石狩市民図書館[外 8]花川南分館八幡分館厚田分館浜益分館]","https://ja.wikipedia.org/w/index.php?title=石狩市民図書館&amp;action=edit&amp;redlink=1","北海道の図書館一覧","https://ja.wikipedia.org/wiki/北海道の図書館一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"りすた図書館 (存在しないページ)","[りすた図書館（夕張市立）[外 9]]","https://ja.wikipedia.org/w/index.php?title=りすた図書館&amp;action=edit&amp;redlink=1","北海道の図書館一覧","https://ja.wikipedia.org/wiki/北海道の図書館一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"岩見沢市立図書館","[岩見沢市立図書館[外 10] 岩見沢市立図書館 （いわみざわしりつとしょかん）は 北海道 岩見沢市 にある公立 図書館 。市内春日町の本館のほか、合併前の旧 栗沢町 ・ 北村 から引き継いだものを含む3つの分館を有する。","https://ja.wikipedia.org/wiki/岩見沢市立図書館","北海道の図書館一覧","https://ja.wikipedia.org/wiki/北海道の図書館一覧","箇条書き,制限あり","北緯43度11分31.1秒東経141度46分44.1秒","〒068-0827北海道岩見沢市春日町2丁目18番1号","本館223,129冊（2012年度末時点）","","本館309,049冊（2012年度）","","","本館約15万人（2012年度）","1951年9月1日","JP-1000062","総合","3,307.2 m2","岩見沢市","","","","北緯43度11分31.1秒東経141度46分44.1秒﻿ / ﻿北緯43.191972度 東経141.778917度﻿ /43.191972; 141.778917座標:北緯43度11分31.1秒東経141度46分44.1秒﻿ / ﻿北緯43.191972度 東経141.778917度﻿ /43.191972; 141.778917","","",""
