# 天分布予報(雲) 3時間降水量の色凡例
RGB,comment
A0D2FF,3時間降水量 1-5 mm/3h
218CFF,3時間降水量 5-10 mm/3h
0041FF,3時間降水量 10-25 mm/3h
FAF500,3時間降水量 15-20 mm/3h
FF9900,3時間降水量 20 mm/3h 以上
