# 洪水浸水想定区域（想定最大規模）の色凡例
RGB,comment
F7F5A9,浸水深 0.5 m未満
FFD8C0,浸水深 0.5 ～ 3.0 m
FFB7B7,浸水深 3.0 ～ 5.0 m
FF9191,浸水深 5.0 ～ 10.0 m
F285C9,浸水深 10.0 ～ 20.0 m
DC7ADC,浸水深 20.0 m 以上
