# 雨雲レーダー降水強度の色凡例
RGB,comment
F2F2FF,降水強度 0-1 mm/h
A0D2FF,降水強度 1-5 mm/h
218CFF,降水強度 5-10 mm/h
0041FF,降水強度 10-20 mm/h
FAF500,降水強度 20-30 mm/h
FF9900,降水強度 30-50 mm/h
FF2800,降水強度 50-80 mm/h
B40068,降水強度 80 mm/h 以上
