# 今後の雨(降水短時間予報) )1時間降水量の色凡例
RGB,comment
F2F2FF,1時間降水量 0-1 mm/h
A0D2FF,1時間降水量 1-5 mm/h
218CFF,1時間降水量 5-10 mm/h
0041FF,1時間降水量 10-20 mm/h
FAF500,1時間降水量 20-30 mm/h
FF9900,1時間降水量 30-50 mm/h
FF2800,1時間降水量 50-80 mm/h
B40068,1時間降水量 80 mm/h 以上
