# 天気分布予報 気温の色凡例
RGB,comment
000820,気温 -20℃以下
001040,気温 -20～-15℃
001860,気温 -15～-10℃
002080,気温 -10～-5℃
0041FF,気温 -5～0℃
0096FF,気温 0～5℃
B9EBFF,気温 5～10℃
FFFFF0,気温 10～15℃
FFFF96,気温 15～20℃
FAF500,気温 20～25℃
FF9900,気温 25～30℃
FF2800,気温 30～35℃
B40068,気温 35度以上
