title	symbol	value	r	g	b	formationAge_ja	formationAge_en	group_ja	group_en	lithology_ja	lithology_en
中生代 後期白亜紀 セノマニアン期〜サントニアン期, 汽水成層ないし海成・非海成混合層 泥岩	K21_sbm	90b4c3	144	180	195	中生代 後期白亜紀 セノマニアン期〜サントニアン期	Mesozoic Late Cretaceous Cenomanian - Santonian	堆積岩	Sedimentary rocks	汽水成層ないし海成・非海成混合層 泥岩	brackish, or marine & non-marine  mixture mudstone
中生代 後期三畳紀 ラディニアン期〜後期ジュラ紀 オックスフォーディアン期, 超苦鉄質片麻岩・超苦鉄質グラノフェルス 高P/T型広域変成岩　角閃岩相	Tr22-J31_msgul_ham	9100a0	145	0	160	中生代 後期三畳紀 ラディニアン期〜後期ジュラ紀 オックスフォーディアン期	Mesozoic Late Triassic Ladinian - Late Jurassic Oxfordian	変成岩	Metamorphic rocks	超苦鉄質片麻岩・超苦鉄質グラノフェルス 高P/T型広域変成岩　角閃岩相	ultramafic gneiss & schist amphibolite facies rock of high P/T  regional metamorphic rocks
新生代 古第三紀 漸新世 チャッティアン期〜新第三紀 中新世 アキタニアン期, 玄武岩 貫入岩	Pg4_vbs_ai	9153a0	145	83	160	新生代 古第三紀 漸新世 チャッティアン期〜新第三紀 中新世 アキタニアン期	Cenozoic Paleogene Oligocene Chattian - Neogene Miocene Aquitanian	火成岩	Igneous rocks	玄武岩 貫入岩	basalt intrusives rocks
古生代 後期デボン紀〜ペルム紀 シスウラリアン世, 礫質片岩 高P/T型広域変成岩　ローソン石青色片岩亜相	D3-P1_msccg_hlb	916514	145	101	20	古生代 後期デボン紀〜ペルム紀 シスウラリアン世	Paleozoic Late Devonian - Permian Cisuralian	変成岩	Metamorphic rocks	礫質片岩 高P/T型広域変成岩　ローソン石青色片岩亜相	conglomerate schist lawsonite-blueschist subfacies rock of high P/T regional  metamorphic rocks
中生代 前期ジュラ紀, 海成層 砂岩泥岩互層	J1_sosma	91d083	145	208	131	中生代 前期ジュラ紀	Mesozoic Jurassic Early	堆積岩	Sedimentary rocks	海成層 砂岩泥岩互層	marine alternation of sandstone & mudstone
古生代 後期デボン紀〜ペルム紀 シスウラリアン世, 超苦鉄質片麻岩・超苦鉄質グラノフェルス 高P/T型広域変成岩　角閃岩相	D3-P1_msgul_ham	9200a0	146	0	160	古生代 後期デボン紀〜ペルム紀 シスウラリアン世	Paleozoic Late Devonian - Permian Cisuralian	変成岩	Metamorphic rocks	超苦鉄質片麻岩・超苦鉄質グラノフェルス 高P/T型広域変成岩　角閃岩相	ultramafic gneiss & schist amphibolite facies rock of high P/T  regional metamorphic rocks
新生代 古第三紀 始新世 ルテシアン期〜新第三紀 中新世 後期バーディガリアン期, 礫質片岩 低P/T型広域変成岩　黒雲母帯	Pg2-N121_msccg_lb	926514	146	101	20	新生代 古第三紀 始新世 ルテシアン期〜新第三紀 中新世 後期バーディガリアン期	Cenozoic Paleogene Eocene Lutetian - Neogene Miocene late Burdigalian	変成岩	Metamorphic rocks	礫質片岩 低P/T型広域変成岩　黒雲母帯	conglomerate schist biotite zone of low P/T regional metamorphic rocks
中生代 後期白亜紀 チューロニアン期〜マーストリヒチアン期, 泥岩砂岩互層 後期白亜紀付加体	K212-22_somam_K2	92c49d	146	196	157	中生代 後期白亜紀 チューロニアン期〜マーストリヒチアン期	Mesozoic Late Cretaceous Turonian - Maastrichtian	付加体	Accretionary complexes	泥岩砂岩互層 後期白亜紀付加体	mudstone-predominant alternation of   sandstone & mudstone Late Cretaceous accretionary complex
古生代 カンブリア紀〜オルドビス紀, 超苦鉄質片麻岩・超苦鉄質グラノフェルス 高P/T型広域変成岩　角閃岩相	Ca-O_msgul_ham	9300a0	147	0	160	古生代 カンブリア紀〜オルドビス紀	Paleozoic Cambrian - Ordovician	変成岩	Metamorphic rocks	超苦鉄質片麻岩・超苦鉄質グラノフェルス 高P/T型広域変成岩　角閃岩相	ultramafic gneiss & schist amphibolite facies rock of high P/T  regional metamorphic rocks
中生代 後期白亜紀〜新生代 古第三紀 暁新世 セランディアン期, 礫質片岩 低P/T型広域変成岩　黒雲母帯	K2-Pg12_msccg_lb	936514	147	101	20	中生代 後期白亜紀〜新生代 古第三紀 暁新世 セランディアン期	Mesozoic Late Cretaceous - Cenozoic Paleogene Paleocene Selandian	変成岩	Metamorphic rocks	礫質片岩 低P/T型広域変成岩　黒雲母帯	conglomerate schist biotite zone of low P/T regional metamorphic rocks
中生代 前期白亜紀 アプチアン期〜後期白亜紀 チューロニアン期, 混在岩 前期白亜紀後期-後期白亜紀前期付加体	K12-212_sx_K1	939993	147	153	147	中生代 前期白亜紀 アプチアン期〜後期白亜紀 チューロニアン期	Mesozoic Early Cretaceous Aptian - Late Cretaceous Turonian	付加体	Accretionary complexes	混在岩 前期白亜紀後期-後期白亜紀前期付加体	mixed rock late Early to early Late Cretaceous accretionary complex
新生代 古第三紀 暁新世 ダニアン期〜始新世 ヤプレシアン期, 海成層 泥岩	Pg1_som	93c8ec	147	200	236	新生代 古第三紀 暁新世 ダニアン期〜始新世 ヤプレシアン期	Cenozoic Paleogene Paleocene Danian - Eocene Ypresian	堆積岩	Sedimentary rocks	海成層 泥岩	marine mudstone
