title	symbol	value	r	g	b	formationAge_ja	formationAge_en	group_ja	group_en	lithology_ja	lithology_en
古生代 カンブリア紀〜オルドビス紀, 泥質片岩 高P/T型広域変成岩　緑泥石帯	Ca-O_mscpe_hc	00255e	0	37	94	古生代 カンブリア紀〜オルドビス紀	Paleozoic Cambrian - Ordovician	変成岩	Metamorphic rocks	泥質片岩 高P/T型広域変成岩　緑泥石帯	pelitic schist chlorite zone of high P/T regional metamorphic rocks
古生代 カンブリア紀〜オルドビス紀, 泥質片岩 高P/T型広域変成岩　ざくろ石帯	Ca-O_mscpe_hg	003738	0	55	56	古生代 カンブリア紀〜オルドビス紀	Paleozoic Cambrian - Ordovician	変成岩	Metamorphic rocks	泥質片岩 高P/T型広域変成岩　ざくろ石帯	pelitic schist garnet zone of high P/T regional metamorphic rocks
中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 変成斑れい岩 高P/T型広域変成岩　緑泥石帯	K122-Pg12_mrga_hc	00406c	0	64	108	中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期	Mesozoic Early Cretaceous Albian - Cenozoic Paleogene Paleocene Selandian	変成岩	Metamorphic rocks	変成斑れい岩 高P/T型広域変成岩　緑泥石帯	metagabbro chlorite zone of high P/T regional metamorphic rocks
古生代 後期オルドビス紀〜前期デボン紀, 海成層 石灰岩	O3-D1_sol	0042ff	0	66	255	古生代 後期オルドビス紀〜前期デボン紀	Paleozoic Ordovician Late - Early Devonian	堆積岩	Sedimentary rocks	海成層 石灰岩	marine limestone
古生代 中期デボン紀〜後期デボン紀, 海成層 石灰岩	D2-3_sol	0048ff	0	72	255	古生代 中期デボン紀〜後期デボン紀	Paleozoic Middle Devonian - Late Devonian	堆積岩	Sedimentary rocks	海成層 石灰岩	marine limestone
古生代 石炭紀, 海成層 石灰岩	C_sol	004eff	0	78	255	古生代 石炭紀	Paleozoic Carboniferous	堆積岩	Sedimentary rocks	海成層 石灰岩	marine limestone
古生代 ペルム紀 シスウラリアン世, 海成層 石灰岩	P1_sol	0054ff	0	84	255	古生代 ペルム紀 シスウラリアン世	Paleozoic Permian Cisuralian	堆積岩	Sedimentary rocks	海成層 石灰岩	marine limestone
中生代 前期白亜紀 バランギニアン期〜アプチアン期, 泥質片麻岩・泥質ミグマタイト 高P/T型広域変成岩　角閃岩相	K112-121_mgmpe_ham	005a95	0	90	149	中生代 前期白亜紀 バランギニアン期〜アプチアン期	Mesozoic Early Cretaceous Valanginian - Aptian	変成岩	Metamorphic rocks	泥質片麻岩・泥質ミグマタイト 高P/T型広域変成岩　角閃岩相	pelitic gneiss & migmatite amphibolite facies rock of high P/T  regional metamorphic rocks
中生代 前期白亜紀 バランギニアン期〜アプチアン期, 泥質片岩 高P/T型広域変成岩　ざくろ石帯	K112-121_mscpe_hg	005ae8	0	90	232	中生代 前期白亜紀 バランギニアン期〜アプチアン期	Mesozoic Early Cretaceous Valanginian - Aptian	変成岩	Metamorphic rocks	泥質片岩 高P/T型広域変成岩　ざくろ石帯	pelitic schist garnet zone of high P/T regional metamorphic rocks
古生代 後期デボン紀, 海成層 石灰岩 前期石炭紀付加体	D3_sol_Cb	005ae9	0	90	233	古生代 後期デボン紀	Paleozoic Late Devonian	付加体	Accretionary complexes	海成層 石灰岩 前期石炭紀付加体	marine limestone Early Carboniferous accretionary complex
古生代 ペルム紀 グアダルピアン世, 海成層 石灰岩	P2_sol	005aff	0	90	255	古生代 ペルム紀 グアダルピアン世	Paleozoic Permian Guadalupian	堆積岩	Sedimentary rocks	海成層 石灰岩	marine limestone
古生代 ペルム紀 ローピンジアン世, 海成層 石灰岩	P3_sol	0060ff	0	96	255	古生代 ペルム紀 ローピンジアン世	Paleozoic Permian Lopingian	堆積岩	Sedimentary rocks	海成層 石灰岩	marine limestone
古生代 石炭紀 ペンシルバニアン亜紀 後期ミシシッピアン亜紀〜ペルム紀 グアダルピアン世, 海成層 石灰岩 中期-後期ペルム紀付加体	C13-P2_sol_P2	0064e9	0	100	233	古生代 石炭紀 ペンシルバニアン亜紀 後期ミシシッピアン亜紀〜ペルム紀 グアダルピアン世	Paleozoic Carboniferous Pennsylvanian Serpukhovian - Permian Guadalupian	付加体	Accretionary complexes	海成層 石灰岩 中期-後期ペルム紀付加体	marine limestone middle to late Permian accretionary complex
中生代 前期三畳紀〜後期三畳紀 アニシアン期, 海成層 石灰岩	Tr1-21_sol	0066ff	0	102	255	中生代 前期三畳紀〜後期三畳紀 アニシアン期	Mesozoic Early Triassic - Late Triassic Anisian	堆積岩	Sedimentary rocks	海成層 石灰岩	marine limestone
中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 泥質片岩 高P/T型広域変成岩　オリゴクレース黒雲母帯	K122-Pg12_mscpe_hob	006795	0	103	149	中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期	Mesozoic Early Cretaceous Albian - Cenozoic Paleogene Paleocene Selandian	変成岩	Metamorphic rocks	泥質片岩 高P/T型広域変成岩　オリゴクレース黒雲母帯	pelitic schist oligoclase-biotite zone of high P/T  regional metamorphic rocks
中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 泥質片岩 高P/T型広域変成岩　アルバイト黒雲母帯	K122-Pg12_mscpe_hab	0067ac	0	103	172	中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期	Mesozoic Early Cretaceous Albian - Cenozoic Paleogene Paleocene Selandian	変成岩	Metamorphic rocks	泥質片岩 高P/T型広域変成岩　アルバイト黒雲母帯	pelitic schist albite-biotite zone of high P/T regional metamorphic rocks
中生代 後期三畳紀 ラディニアン期〜後期三畳紀, 海成層 石灰岩	Tr22-3_sol	006cff	0	108	255	中生代 後期三畳紀 ラディニアン期〜後期三畳紀	Mesozoic Late Triassic Ladinian - Late Triassic	堆積岩	Sedimentary rocks	海成層 石灰岩	marine limestone
中生代 前期白亜紀 バランギニアン期〜アプチアン期, 泥質片岩 高P/T型広域変成岩　緑泥石帯	K112-121_mscpe_hc	006ee1	0	110	225	中生代 前期白亜紀 バランギニアン期〜アプチアン期	Mesozoic Early Cretaceous Valanginian - Aptian	変成岩	Metamorphic rocks	泥質片岩 高P/T型広域変成岩　緑泥石帯	pelitic schist chlorite zone of high P/T regional metamorphic rocks
古生代 ペルム紀 グアダルピアン世〜中生代 後期三畳紀 カーニアン期, 海成層 石灰岩 中期-後期三畳紀付加体	P2-Tr31_sol_Tr	006ee9	0	110	233	古生代 ペルム紀 グアダルピアン世〜中生代 後期三畳紀 カーニアン期	Paleozoic Permian Guadalupian - Mesozoic Late Triassic Carnian	付加体	Accretionary complexes	海成層 石灰岩 中期-後期三畳紀付加体	marine limestone Middle to Late Triassic accretionary complex
中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 苦鉄質千枚岩 高P/T型広域変成岩　緑泥石帯	K122-Pg12_mpyma_hc	006f00	0	111	0	中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期	Mesozoic Early Cretaceous Albian - Cenozoic Paleogene Paleocene Selandian	変成岩	Metamorphic rocks	苦鉄質千枚岩 高P/T型広域変成岩　緑泥石帯	mafic phyllite chlorite zone of high P/T regional metamorphic rocks
古生代 後期デボン紀〜ペルム紀 シスウラリアン世, 変成玄武岩 高P/T型広域変成岩　緑泥石帯	D3-P1_mrbs_hc	007000	0	112	0	古生代 後期デボン紀〜ペルム紀 シスウラリアン世	Paleozoic Late Devonian - Permian Cisuralian	変成岩	Metamorphic rocks	変成玄武岩 高P/T型広域変成岩　緑泥石帯	metabasalt chlorite zone of high P/T regional metamorphic rocks
中生代 後期三畳紀 ラディニアン期〜後期ジュラ紀 オックスフォーディアン期, 変成玄武岩 高P/T型広域変成岩　ローソン石青色片岩亜相	Tr22-J31_mrbs_hlb	007001	0	112	1	中生代 後期三畳紀 ラディニアン期〜後期ジュラ紀 オックスフォーディアン期	Mesozoic Late Triassic Ladinian - Late Jurassic Oxfordian	変成岩	Metamorphic rocks	変成玄武岩 高P/T型広域変成岩　ローソン石青色片岩亜相	metabasalt lawsonite-blueschist subfacies rock of high P/T regional  metamorphic rocks
中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 変成玄武岩 高P/T型広域変成岩　緑泥石帯	K122-Pg12_mrbs_hc	007100	0	113	0	中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期	Mesozoic Early Cretaceous Albian - Cenozoic Paleogene Paleocene Selandian	変成岩	Metamorphic rocks	変成玄武岩 高P/T型広域変成岩　緑泥石帯	metabasalt chlorite zone of high P/T regional metamorphic rocks
中生代 前期白亜紀 バランギニアン期〜アプチアン期, 変成玄武岩 高P/T型広域変成岩　緑泥石帯	K112-121_mrbs_hc	007101	0	113	1	中生代 前期白亜紀 バランギニアン期〜アプチアン期	Mesozoic Early Cretaceous Valanginian - Aptian	変成岩	Metamorphic rocks	変成玄武岩 高P/T型広域変成岩　緑泥石帯	metabasalt chlorite zone of high P/T regional metamorphic rocks
古生代 カンブリア紀〜オルドビス紀, 変成玄武岩 高P/T型広域変成岩　緑泥石帯	Ca-O_mrbs_hc	007102	0	113	2	古生代 カンブリア紀〜オルドビス紀	Paleozoic Cambrian - Ordovician	変成岩	Metamorphic rocks	変成玄武岩 高P/T型広域変成岩　緑泥石帯	metabasalt chlorite zone of high P/T regional metamorphic rocks
中生代 後期三畳紀 ラディニアン期〜後期ジュラ紀 オックスフォーディアン期, 変成玄武岩 高P/T型広域変成岩　緑泥石帯	Tr22-J31_mrbs_hc	007200	0	114	0	中生代 後期三畳紀 ラディニアン期〜後期ジュラ紀 オックスフォーディアン期	Mesozoic Late Triassic Ladinian - Late Jurassic Oxfordian	変成岩	Metamorphic rocks	変成玄武岩 高P/T型広域変成岩　緑泥石帯	metabasalt chlorite zone of high P/T regional metamorphic rocks
中生代 前期白亜紀 ベリアシアン期〜アプチアン期, 変成玄武岩 高P/T型広域変成岩　ローソン石青色片岩亜相	K11-121_mrbs_hlb	007201	0	114	1	中生代 前期白亜紀 ベリアシアン期〜アプチアン期	Mesozoic Early Cretaceous Berriasian - Aptian	変成岩	Metamorphic rocks	変成玄武岩 高P/T型広域変成岩　ローソン石青色片岩亜相	metabasalt lawsonite-blueschist subfacies rock of high P/T regional  metamorphic rocks
中生代 前期ジュラ紀, 海成層 石灰岩	J1_sol	0072ff	0	114	255	中生代 前期ジュラ紀	Mesozoic Jurassic Early	堆積岩	Sedimentary rocks	海成層 石灰岩	marine limestone
古生代 後期デボン紀〜ペルム紀 シスウラリアン世, 変成玄武岩 高P/T型広域変成岩　ローソン石青色片岩亜相	D3-P1_mrbs_hlb	007300	0	115	0	古生代 後期デボン紀〜ペルム紀 シスウラリアン世	Paleozoic Late Devonian - Permian Cisuralian	変成岩	Metamorphic rocks	変成玄武岩 高P/T型広域変成岩　ローソン石青色片岩亜相	metabasalt lawsonite-blueschist subfacies rock of high P/T regional  metamorphic rocks
古生代 石炭紀 ペンシルバニアン亜紀 後期ミシシッピアン亜紀〜中生代 三畳紀, 海成層 石灰岩 前期-中期ジュラ紀付加体	C13-Tr_sol_J1	0078e9	0	120	233	古生代 石炭紀 ペンシルバニアン亜紀 後期ミシシッピアン亜紀〜中生代 三畳紀	Paleozoic Carboniferous Pennsylvanian Serpukhovian - Mesozoic Triassic	付加体	Accretionary complexes	海成層 石灰岩 前期-中期ジュラ紀付加体	marine limestone Early to Middle Jurassic accretionary complex
中生代 中期ジュラ紀, 海成層 石灰岩	J2_sol	0078ff	0	120	255	中生代 中期ジュラ紀	Mesozoic Jurassic Middle	堆積岩	Sedimentary rocks	海成層 石灰岩	marine limestone
中生代 後期ジュラ紀, 海成層 石灰岩	J3_sol	007eff	0	126	255	中生代 後期ジュラ紀	Mesozoic Late Jurassic	堆積岩	Sedimentary rocks	海成層 石灰岩	marine limestone
古生代 石炭紀 ペンシルバニアン亜紀 後期ミシシッピアン亜紀〜中生代 後期三畳紀 ノーリアン期, 海成層 石灰岩 中期-後期ジュラ紀付加体	C13-Tr32_sol_J2	0082e9	0	130	233	古生代 石炭紀 ペンシルバニアン亜紀 後期ミシシッピアン亜紀〜中生代 後期三畳紀 ノーリアン期	Paleozoic Carboniferous Pennsylvanian Serpukhovian - Mesozoic Late Triassic Norian	付加体	Accretionary complexes	海成層 石灰岩 中期-後期ジュラ紀付加体	marine limestone Middle to Late Jurassic accretionary complex
中生代 前期白亜紀 ベリアシアン期〜バレミアン期, 海成層 石灰岩	K11_sol	0084ff	0	132	255	中生代 前期白亜紀 ベリアシアン期〜バレミアン期	Mesozoic Early Cretaceous Berriasian - Barremian	堆積岩	Sedimentary rocks	海成層 石灰岩	marine limestone
古生代 オルドビス紀〜シルル紀 ウェンロック世, 玄武岩 海洋 前期古生代の苦鉄質岩類に富む付加体	O-S2_vbs_o_Sb	008666	0	134	102	古生代 オルドビス紀〜シルル紀 ウェンロック世	Paleozoic Ordovician - Silurian Wenlock	付加体	Accretionary complexes	玄武岩 海洋 前期古生代の苦鉄質岩類に富む付加体	basalt oceanic early Paleozoic accretionary complex rich in mafic rocks
古生代 ペルム紀 シスウラリアン世 サクマーリアン期〜中生代 ジュラ紀, 海成層 石灰岩 後期ジュラ紀-前期白亜紀付加体	P12-J_sol_J3	008ce9	0	140	233	古生代 ペルム紀 シスウラリアン世 サクマーリアン期〜中生代 ジュラ紀	Paleozoic Permian Cisuralian Sakmarian - Mesozoic Jurassic	付加体	Accretionary complexes	海成層 石灰岩 後期ジュラ紀-前期白亜紀付加体	marine limestone Late Jurassic to Early Cretaceous accretionary complex
古生代 ペルム紀 シスウラリアン世〜グアダルピアン世 ローディアン期, 玄武岩 海洋 前期-中期ペルム紀の苦鉄質岩類に富む付加体	P1-21_vbs_o_Pb	009070	0	144	112	古生代 ペルム紀 シスウラリアン世〜グアダルピアン世 ローディアン期	Paleozoic Permian Cisuralian - Guadalupian Roadian	付加体	Accretionary complexes	玄武岩 海洋 前期-中期ペルム紀の苦鉄質岩類に富む付加体	basalt oceanic early to middle Permian accretionary complex rich in mafic rocks
中生代 後期ジュラ紀 チトニアン期〜前期白亜紀 アプチアン期, 海成層 石灰岩 前期白亜紀後期-後期白亜紀前期付加体	J33-K121_sol_K1	0096e9	0	150	233	中生代 後期ジュラ紀 チトニアン期〜前期白亜紀 アプチアン期	Mesozoic Late Jurassic Tithonian - Early Cretaceous Aptian	付加体	Accretionary complexes	海成層 石灰岩 前期白亜紀後期-後期白亜紀前期付加体	marine limestone late Early to early Late Cretaceous accretionary complex
中生代 後期ジュラ紀〜前期白亜紀 バレミアン期, 玄武岩 海洋 後期ジュラ紀-前期白亜紀の苦鉄質岩類に富む付加体	J3-K11_vbs_o_Jb	009a7a	0	154	122	中生代 後期ジュラ紀〜前期白亜紀 バレミアン期	Mesozoic Late Jurassic - Early Cretaceous Barremian	付加体	Accretionary complexes	玄武岩 海洋 後期ジュラ紀-前期白亜紀の苦鉄質岩類に富む付加体	basalt oceanic Late Jurassic to Early Cretaceous accretionary complex rich in mafic rocks
古生代 後期デボン紀, 玄武岩 海洋 前期石炭紀付加体	D3_vbs_o_Cb	00a000	0	160	0	古生代 後期デボン紀	Paleozoic Late Devonian	付加体	Accretionary complexes	玄武岩 海洋 前期石炭紀付加体	basalt oceanic Early Carboniferous accretionary complex
中生代 後期ジュラ紀 チトニアン期〜後期白亜紀 チューロニアン期, 海成層 石灰岩 後期白亜紀付加体	J33-K212_sol_K2	00a0e9	0	160	233	中生代 後期ジュラ紀 チトニアン期〜後期白亜紀 チューロニアン期	Mesozoic Late Jurassic Tithonian - Late Cretaceous Turonian	付加体	Accretionary complexes	海成層 石灰岩 後期白亜紀付加体	marine limestone Late Cretaceous accretionary complex
中生代 後期白亜紀, 玄武岩 海洋 後期白亜紀の苦鉄質岩類に富む付加体	K2_vbs_o_Kp	00a484	0	164	132	中生代 後期白亜紀	Mesozoic Late Cretaceous	付加体	Accretionary complexes	玄武岩 海洋 後期白亜紀の苦鉄質岩類に富む付加体	basalt oceanic Late Cretaceous accretionary complex rich in mafic rocks
古生代 石炭紀 ペンシルバニアン亜紀 後期ミシシッピアン亜紀〜ペルム紀 シスウラリアン世, 玄武岩 海洋 中期-後期ペルム紀付加体	C13-P1_vbs_o_P2	00a500	0	165	0	古生代 石炭紀 ペンシルバニアン亜紀 後期ミシシッピアン亜紀〜ペルム紀 シスウラリアン世	Paleozoic Carboniferous Pennsylvanian Serpukhovian - Permian Cisuralian	付加体	Accretionary complexes	玄武岩 海洋 中期-後期ペルム紀付加体	basalt oceanic middle to late Permian accretionary complex
古生代 石炭紀 ペンシルバニアン亜紀 後期ミシシッピアン亜紀〜ペルム紀 シスウラリアン世, 玄武岩 海洋 中期-後期三畳紀付加体	C13-P1_vbs_o_Tr	00aa00	0	170	0	古生代 石炭紀 ペンシルバニアン亜紀 後期ミシシッピアン亜紀〜ペルム紀 シスウラリアン世	Paleozoic Carboniferous Pennsylvanian Serpukhovian - Permian Cisuralian	付加体	Accretionary complexes	玄武岩 海洋 中期-後期三畳紀付加体	basalt oceanic Middle to Late Triassic accretionary complex
古生代 ペルム紀 ローピンジアン世〜中生代 後期三畳紀 ノーリアン期, 海成層 石灰岩 白亜紀付加体	P3-Tr32_sol_Ki	00aae9	0	170	233	古生代 ペルム紀 ローピンジアン世〜中生代 後期三畳紀 ノーリアン期	Paleozoic Permian Lopingian - Mesozoic Late Triassic Norian	付加体	Accretionary complexes	海成層 石灰岩 白亜紀付加体	marine limestone Cretaceous accretionary complex
古生代 石炭紀 ペンシルバニアン亜紀 後期ミシシッピアン亜紀〜ペルム紀 シスウラリアン世, 玄武岩 海洋 前期-中期ジュラ紀付加体	C13-P1_vbs_o_J1	00af00	0	175	0	古生代 石炭紀 ペンシルバニアン亜紀 後期ミシシッピアン亜紀〜ペルム紀 シスウラリアン世	Paleozoic Carboniferous Pennsylvanian Serpukhovian - Permian Cisuralian	付加体	Accretionary complexes	玄武岩 海洋 前期-中期ジュラ紀付加体	basalt oceanic Early to Middle Jurassic accretionary complex
古生代 石炭紀 ペンシルバニアン亜紀 後期ミシシッピアン亜紀〜中生代 後期三畳紀 ノーリアン期, 玄武岩 海洋 中期-後期ジュラ紀付加体	C13-Tr32_vbs_o_J2	00b400	0	180	0	古生代 石炭紀 ペンシルバニアン亜紀 後期ミシシッピアン亜紀〜中生代 後期三畳紀 ノーリアン期	Paleozoic Carboniferous Pennsylvanian Serpukhovian - Mesozoic Late Triassic Norian	付加体	Accretionary complexes	玄武岩 海洋 中期-後期ジュラ紀付加体	basalt oceanic Middle to Late Jurassic accretionary complex
中生代 後期ジュラ紀 キンメリッジアン期〜前期白亜紀 アルビアン期, 海成層 石灰岩 後期白亜紀前期付加体	J32-K12_sol_Kn	00b4e9	0	180	233	中生代 後期ジュラ紀 キンメリッジアン期〜前期白亜紀 アルビアン期	Mesozoic Late Jurassic Kimmeridgian - Early Cretaceous Albian	付加体	Accretionary complexes	海成層 石灰岩 後期白亜紀前期付加体	marine limestone early Late Cretaceous accretionary complex
古生代 ペルム紀 シスウラリアン世 サクマーリアン期〜中生代 後期三畳紀 ノーリアン期, 玄武岩 海洋 後期ジュラ紀-前期白亜紀付加体	P12-Tr32_vbs_o_J3	00b900	0	185	0	古生代 ペルム紀 シスウラリアン世 サクマーリアン期〜中生代 後期三畳紀 ノーリアン期	Paleozoic Permian Cisuralian Sakmarian - Mesozoic Late Triassic Norian	付加体	Accretionary complexes	玄武岩 海洋 後期ジュラ紀-前期白亜紀付加体	basalt oceanic Late Jurassic to Early Cretaceous accretionary complex
中生代 後期ジュラ紀 チトニアン期〜前期白亜紀 アプチアン期, 玄武岩 海洋 前期白亜紀後期-後期白亜紀前期付加体	J33-K121_vbs_o_K1	00be00	0	190	0	中生代 後期ジュラ紀 チトニアン期〜前期白亜紀 アプチアン期	Mesozoic Late Jurassic Tithonian - Early Cretaceous Aptian	付加体	Accretionary complexes	玄武岩 海洋 前期白亜紀後期-後期白亜紀前期付加体	basalt oceanic late Early to early Late Cretaceous accretionary complex
中生代 前期白亜紀 ベリアシアン期〜オーテリビアン期, 海成層 石灰岩 後期白亜紀-始新世付加体	K111-113_sol_KPg	00bee9	0	190	233	中生代 前期白亜紀 ベリアシアン期〜オーテリビアン期	Mesozoic Early Cretaceous Berriasian - Hauterivian	付加体	Accretionary complexes	海成層 石灰岩 後期白亜紀-始新世付加体	marine limestone Late Cretaceous to Eocene accretionary complex
中生代 後期ジュラ紀 チトニアン期〜後期白亜紀 チューロニアン期, 玄武岩 海洋 後期白亜紀付加体	J33-K212_vbs_o_K2	00c300	0	195	0	中生代 後期ジュラ紀 チトニアン期〜後期白亜紀 チューロニアン期	Mesozoic Late Jurassic Tithonian - Late Cretaceous Turonian	付加体	Accretionary complexes	玄武岩 海洋 後期白亜紀付加体	basalt oceanic Late Cretaceous accretionary complex
古生代 ペルム紀 ローピンジアン世〜中生代 中期ジュラ紀, 玄武岩 海洋 白亜紀付加体	P3-J2_vbs_o_Ki	00c800	0	200	0	古生代 ペルム紀 ローピンジアン世〜中生代 中期ジュラ紀	Paleozoic Permian Lopingian - Mesozoic Jurassic Middle	付加体	Accretionary complexes	玄武岩 海洋 白亜紀付加体	basalt oceanic Cretaceous accretionary complex
中生代 前期白亜紀〜後期白亜紀 セノマニアン期, 玄武岩 海洋 後期白亜紀-始新世付加体	K1-211_vbs_o_KPg	00d200	0	210	0	中生代 前期白亜紀〜後期白亜紀 セノマニアン期	Mesozoic Early Cretaceous - Late Cretaceous Cenomanian	付加体	Accretionary complexes	玄武岩 海洋 後期白亜紀-始新世付加体	basalt oceanic Late Cretaceous to Eocene accretionary complex
新生代 古第三紀 始新世 ルテシアン期〜漸新世 ルペリアン期, 海成層 石灰岩 後期漸新世-中期中新世前期付加体	Pg2-3_sol_Pg4	00d2e9	0	210	233	新生代 古第三紀 始新世 ルテシアン期〜漸新世 ルペリアン期	Cenozoic Paleogene Eocene Lutetian - Oligocene Rupelian	付加体	Accretionary complexes	海成層 石灰岩 後期漸新世-中期中新世前期付加体	marine limestone late Oligocene to middle Miocene accretionary complex
新生代 古第三紀 暁新世 セランディアン期〜始新世 ルテシアン期, 玄武岩 海洋 始新世-前期漸新世付加体	Pg12-21_vbs_o_Pg2	00d700	0	215	0	新生代 古第三紀 暁新世 セランディアン期〜始新世 ルテシアン期	Cenozoic Paleogene Paleocene Selandian - Eocene Lutetian	付加体	Accretionary complexes	玄武岩 海洋 始新世-前期漸新世付加体	basalt oceanic Eocene to early Oligocene accretionary complex
新生代 古第三紀 暁新世 サネティアン期〜漸新世 チャッティアン期, 玄武岩 海洋 後期漸新世-中期中新世前期付加体	Pg13-41_vbs_o_Pg4	00dc00	0	220	0	新生代 古第三紀 暁新世 サネティアン期〜漸新世 チャッティアン期	Cenozoic Paleogene Paleocene Thanetian - Oligocene Chattian	付加体	Accretionary complexes	玄武岩 海洋 後期漸新世-中期中新世前期付加体	basalt oceanic late Oligocene to middle Miocene accretionary complex
新生代 新第三紀 中新世 後期バーディガリアン期〜後期ランギアン期, 海成層 石灰岩 前期中新世後期-中期中新世付加体	N12-211_sol_N2	00dce9	0	220	233	新生代 新第三紀 中新世 後期バーディガリアン期〜後期ランギアン期	Cenozoic Neogene Miocene late Burdigalian - late Langhian	付加体	Accretionary complexes	海成層 石灰岩 前期中新世後期-中期中新世付加体	marine limestone late early to middle Miocene accretionary complex
新生代 新第三紀 中新世 後期バーディガリアン期〜後期サーラバリアン期, 玄武岩 海洋 前期中新世後期-中期中新世付加体	N12-221_vbs_o_N2	00e100	0	225	0	新生代 新第三紀 中新世 後期バーディガリアン期〜後期サーラバリアン期	Cenozoic Neogene Miocene late Burdigalian - late Serravallian	付加体	Accretionary complexes	玄武岩 海洋 前期中新世後期-中期中新世付加体	basalt oceanic late early to middle Miocene accretionary complex
古生代 後期デボン紀〜ペルム紀 シスウラリアン世, 泥質片岩 高P/T型広域変成岩　ローソン石青色片岩亜相	D3-P1_mscpe_hlb	01265e	1	38	94	古生代 後期デボン紀〜ペルム紀 シスウラリアン世	Paleozoic Late Devonian - Permian Cisuralian	変成岩	Metamorphic rocks	泥質片岩 高P/T型広域変成岩　ローソン石青色片岩亜相	pelitic schist lawsonite-blueschist subfacies rock of high P/T regional  metamorphic rocks
古生代 カンブリア紀〜オルドビス紀, 泥質千枚岩 高P/T型広域変成岩　緑泥石帯	Ca-O_mpype_hc	01265f	1	38	95	古生代 カンブリア紀〜オルドビス紀	Paleozoic Cambrian - Ordovician	変成岩	Metamorphic rocks	泥質千枚岩 高P/T型広域変成岩　緑泥石帯	pelitic phyllite chlorite zone of high P/T regional metamorphic rocks
古生代 カンブリア紀〜オルドビス紀, 粘板岩  高P/T型広域変成岩　緑泥石帯	Ca-O_msl_hc	012660	1	38	96	古生代 カンブリア紀〜オルドビス紀	Paleozoic Cambrian - Ordovician	変成岩	Metamorphic rocks	粘板岩  高P/T型広域変成岩　緑泥石帯	slate chlorite zone of high P/T regional metamorphic rocks
古生代 カンブリア紀〜オルドビス紀, 泥質片岩 高P/T型広域変成岩　角閃岩相	Ca-O_mscpe_ham	013839	1	56	57	古生代 カンブリア紀〜オルドビス紀	Paleozoic Cambrian - Ordovician	変成岩	Metamorphic rocks	泥質片岩 高P/T型広域変成岩　角閃岩相	pelitic schist amphibolite facies rock of high P/T  regional metamorphic rocks
中生代 前期白亜紀 バランギニアン期〜アプチアン期, 変成斑れい岩 高P/T型広域変成岩　緑泥石帯	K112-121_mrga_hc	01406c	1	64	108	中生代 前期白亜紀 バランギニアン期〜アプチアン期	Mesozoic Early Cretaceous Valanginian - Aptian	変成岩	Metamorphic rocks	変成斑れい岩 高P/T型広域変成岩　緑泥石帯	metagabbro chlorite zone of high P/T regional metamorphic rocks
中生代 前期白亜紀 バランギニアン期〜アプチアン期, 泥質片麻岩・泥質ミグマタイト 高P/T型広域変成岩　角閃岩相・グラニュライト相	K112-121_mgmpe_hag	015b96	1	91	150	中生代 前期白亜紀 バランギニアン期〜アプチアン期	Mesozoic Early Cretaceous Valanginian - Aptian	変成岩	Metamorphic rocks	泥質片麻岩・泥質ミグマタイト 高P/T型広域変成岩　角閃岩相・グラニュライト相	pelitic gneiss & migmatite amphibolite or granulite facies rocks of high P/T regional metamorphic rocks
中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 泥質片岩 中P/T型広域変成岩　角閃岩相	K122-Pg12_mscpe_mam	016896	1	104	150	中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期	Mesozoic Early Cretaceous Albian - Cenozoic Paleogene Paleocene Selandian	変成岩	Metamorphic rocks	泥質片岩 中P/T型広域変成岩　角閃岩相	pelitic schist amphibolite facies rock of medium P/T regional metamorphic rocks
中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 泥質片麻岩・泥質ミグマタイト 中P/T型広域変成岩　角閃岩相	K122-Pg12_mgmpe_mam	016897	1	104	151	中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期	Mesozoic Early Cretaceous Albian - Cenozoic Paleogene Paleocene Selandian	変成岩	Metamorphic rocks	泥質片麻岩・泥質ミグマタイト 中P/T型広域変成岩　角閃岩相	pelitic gneiss & migmatite amphibolite facies rock of medium P/T regional metamorphic rocks
