# 20万分の1日本シームレス地質図V2
"RGB","comment"
"351ee1","[K122-Pg12_msnca_mag] 中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 石灰質片岩・石灰質グラノフェルス・石灰質片麻岩 中P/T型広域変成岩　角閃岩相・グラニュライト相"
"35406c","[Tr22-J31_mrga_hag] 中生代 後期三畳紀 ラディニアン期〜後期ジュラ紀 オックスフォーディアン期, 変成斑れい岩 高P/T型広域変成岩　角閃岩相・グラニュライト相"
"357100","[Tr22-J31_msgma_ham] 中生代 後期三畳紀 ラディニアン期〜後期ジュラ紀 オックスフォーディアン期, 苦鉄質片麻岩・苦鉄質グラノフェルス 高P/T型広域変成岩　角閃岩相"
"361be1","[K2-Pg12_msnca_lop] 中生代 後期白亜紀〜新生代 古第三紀 暁新世 セランディアン期, 石灰質片岩・石灰質グラノフェルス・石灰質片麻岩 低P/T型広域変成岩　斜方輝石帯（グラニュライト相）"
"361ce0","[Tr1-32_msnca_lgc] 中生代 前期三畳紀〜後期三畳紀 ノーリアン期, 石灰質片岩・石灰質グラノフェルス・石灰質片麻岩 低P/T型広域変成岩　ざくろ石菫青石帯"
"361ce1","[K2-Pg12_msnca_lks] 中生代 後期白亜紀〜新生代 古第三紀 暁新世 セランディアン期, 石灰質片岩・石灰質グラノフェルス・石灰質片麻岩 低P/T型広域変成岩　珪線石カリ長石帯"
"361ce2","[K12_msnca_lgc] 中生代 前期白亜紀 アプチアン期〜アルビアン期, 石灰質片岩・石灰質グラノフェルス・石灰質片麻岩 低P/T型広域変成岩　ざくろ石菫青石帯"
"361ddf","[Tr1-32_msnca_lks] 中生代 前期三畳紀〜後期三畳紀 ノーリアン期, 石灰質片岩・石灰質グラノフェルス・石灰質片麻岩 低P/T型広域変成岩　珪線石カリ長石帯"
"361de0","[Tr1-32_msnca_lkc] 中生代 前期三畳紀〜後期三畳紀 ノーリアン期, 石灰質片岩・石灰質グラノフェルス・石灰質片麻岩 低P/T型広域変成岩　カリ長石菫青石帯"
"361de1","[Pg2-N121_msnca_lkc] 新生代 古第三紀 始新世 ルテシアン期〜新第三紀 中新世 後期バーディガリアン期, 石灰質片岩・石灰質グラノフェルス・石灰質片麻岩 低P/T型広域変成岩　カリ長石菫青石帯"
"361de2","[K2-Pg12_msnca_lkc] 中生代 後期白亜紀〜新生代 古第三紀 暁新世 セランディアン期, 石灰質片岩・石灰質グラノフェルス・石灰質片麻岩 低P/T型広域変成岩　カリ長石菫青石帯"
"361de3","[K12_msnca_lks] 中生代 前期白亜紀 アプチアン期〜アルビアン期, 石灰質片岩・石灰質グラノフェルス・石灰質片麻岩 低P/T型広域変成岩　珪線石カリ長石帯"
"361ee0","[K2-Pg12_msnca_lgc] 中生代 後期白亜紀〜新生代 古第三紀 暁新世 セランディアン期, 石灰質片岩・石灰質グラノフェルス・石灰質片麻岩 低P/T型広域変成岩　ざくろ石菫青石帯"
"361ee1","[Pg2-N121_msnca_lks] 新生代 古第三紀 始新世 ルテシアン期〜新第三紀 中新世 後期バーディガリアン期, 石灰質片岩・石灰質グラノフェルス・石灰質片麻岩 低P/T型広域変成岩　珪線石カリ長石帯"
"361ee2","[Pg2-N121_msnca_lgc] 新生代 古第三紀 始新世 ルテシアン期〜新第三紀 中新世 後期バーディガリアン期, 石灰質片岩・石灰質グラノフェルス・石灰質片麻岩 低P/T型広域変成岩　ざくろ石菫青石帯"
"361fe1","[Pg2-N121_msnca_lop] 新生代 古第三紀 始新世 ルテシアン期〜新第三紀 中新世 後期バーディガリアン期, 石灰質片岩・石灰質グラノフェルス・石灰質片麻岩 低P/T型広域変成岩　斜方輝石帯（グラニュライト相）"
"36406c","[D3-P1_mrga_hag] 古生代 後期デボン紀〜ペルム紀 シスウラリアン世, 変成斑れい岩 高P/T型広域変成岩　角閃岩相・グラニュライト相"
"367100","[D3-P1_msgma_ham] 古生代 後期デボン紀〜ペルム紀 シスウラリアン世, 苦鉄質片麻岩・苦鉄質グラノフェルス 高P/T型広域変成岩　角閃岩相"
"371ce1","[Ca4-S_msnca_mag] 古生代 カンブリア紀 フロンギアン世〜シルル紀, 石灰質片岩・石灰質グラノフェルス・石灰質片麻岩 中P/T型広域変成岩　角閃岩相・グラニュライト相"
"371de0","[Tr1-32_msnca_lop] 中生代 前期三畳紀〜後期三畳紀 ノーリアン期, 石灰質片岩・石灰質グラノフェルス・石灰質片麻岩 低P/T型広域変成岩　斜方輝石帯（グラニュライト相）"
"371de1","[Pg2-N121_msgca_lb] 新生代 古第三紀 始新世 ルテシアン期〜新第三紀 中新世 後期バーディガリアン期, 石灰質片麻岩・石灰質グラノフェルス 低P/T型広域変成岩　黒雲母帯"
"371de2","[K12_msnca_lop] 中生代 前期白亜紀 アプチアン期〜アルビアン期, 石灰質片岩・石灰質グラノフェルス・石灰質片麻岩 低P/T型広域変成岩　斜方輝石帯（グラニュライト相）"
"371ee1","[K122-Pg12_msnca_mam] 中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 石灰質片岩・石灰質グラノフェルス・石灰質片麻岩 中P/T型広域変成岩　角閃岩相"
"37406c","[Ca-O_mrga_hag] 古生代 カンブリア紀〜オルドビス紀, 変成斑れい岩 高P/T型広域変成岩　角閃岩相・グラニュライト相"
"377100","[Ca-O_msgma_ham] 古生代 カンブリア紀〜オルドビス紀, 苦鉄質片麻岩・苦鉄質グラノフェルス 高P/T型広域変成岩　角閃岩相"
"381de1","[K2-Pg12_msgca_lb] 中生代 後期白亜紀〜新生代 古第三紀 暁新世 セランディアン期, 石灰質片麻岩・石灰質グラノフェルス 低P/T型広域変成岩　黒雲母帯"
"38406c","[K122-Pg12_mrhb_hc] 中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 変成した角閃石岩・角閃岩 高P/T型広域変成岩　緑泥石帯"
"387100","[K122-Pg12_msgma_hag] 中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 苦鉄質片麻岩・苦鉄質グラノフェルス 高P/T型広域変成岩　角閃岩相・グラニュライト相"
"391de1","[K12_msgca_lb] 中生代 前期白亜紀 アプチアン期〜アルビアン期, 石灰質片麻岩・石灰質グラノフェルス 低P/T型広域変成岩　黒雲母帯"
"39406c","[K112-121_mrhb_hc] 中生代 前期白亜紀 バランギニアン期〜アプチアン期, 変成した角閃石岩・角閃岩 高P/T型広域変成岩　緑泥石帯"
"397100","[K112-121_msgma_hag] 中生代 前期白亜紀 バランギニアン期〜アプチアン期, 苦鉄質片麻岩・苦鉄質グラノフェルス 高P/T型広域変成岩　角閃岩相・グラニュライト相"
"397aa0","[O3-D1_som] 古生代 後期オルドビス紀〜前期デボン紀, 海成層 泥岩"
"3a126f","[K2_pu_a] 中生代 後期白亜紀, 超苦鉄質岩類 島弧・大陸"
"3a1de1","[Tr1-32_msgca_lb] 中生代 前期三畳紀〜後期三畳紀 ノーリアン期, 石灰質片麻岩・石灰質グラノフェルス 低P/T型広域変成岩　黒雲母帯"
"3a406c","[Tr22-J31_mrhb_hc] 中生代 後期三畳紀 ラディニアン期〜後期ジュラ紀 オックスフォーディアン期, 変成した角閃石岩・角閃岩 高P/T型広域変成岩　緑泥石帯"
"3a4b7b","[Tr22-J31_mscpe_hg] 中生代 後期三畳紀 ラディニアン期〜後期ジュラ紀 オックスフォーディアン期, 泥質片岩 高P/T型広域変成岩　ざくろ石帯"
"3a7100","[Tr22-J31_msgma_hag] 中生代 後期三畳紀 ラディニアン期〜後期ジュラ紀 オックスフォーディアン期, 苦鉄質片麻岩・苦鉄質グラノフェルス 高P/T型広域変成岩　角閃岩相・グラニュライト相"
"3b1de1","[Pg2-N121_msgca_lkc] 新生代 古第三紀 始新世 ルテシアン期〜新第三紀 中新世 後期バーディガリアン期, 石灰質片麻岩・石灰質グラノフェルス 低P/T型広域変成岩　カリ長石菫青石帯"
"3b406c","[D3-P1_mrhb_hc] 古生代 後期デボン紀〜ペルム紀 シスウラリアン世, 変成した角閃石岩・角閃岩 高P/T型広域変成岩　緑泥石帯"
"3b4c7c","[Tr22-J31_mscpe_ham] 中生代 後期三畳紀 ラディニアン期〜後期ジュラ紀 オックスフォーディアン期, 泥質片岩 高P/T型広域変成岩　角閃岩相"
"3b7100","[D3-P1_msgma_hag] 古生代 後期デボン紀〜ペルム紀 シスウラリアン世, 苦鉄質片麻岩・苦鉄質グラノフェルス 高P/T型広域変成岩　角閃岩相・グラニュライト相"
"3bffd7","[N2_son] 新生代 新第三紀 中新世 後期ランギアン期〜トートニアン期, 海成層 石灰質シルト岩・砂岩"
"3bffff","[N2_sol] 新生代 新第三紀 中新世 後期ランギアン期〜トートニアン期, 海成層 石灰岩"
"3c1de1","[K2-Pg12_msgca_lkc] 中生代 後期白亜紀〜新生代 古第三紀 暁新世 セランディアン期, 石灰質片麻岩・石灰質グラノフェルス 低P/T型広域変成岩　カリ長石菫青石帯"
"3c406c","[Ca-O_mrhb_hc] 古生代 カンブリア紀〜オルドビス紀, 変成した角閃石岩・角閃岩 高P/T型広域変成岩　緑泥石帯"
"3c4d7d","[Tr22-J31_mscpe_hag] 中生代 後期三畳紀 ラディニアン期〜後期ジュラ紀 オックスフォーディアン期, 泥質片岩 高P/T型広域変成岩　角閃岩相・グラニュライト相"
"3c7100","[Ca-O_msgma_hag] 古生代 カンブリア紀〜オルドビス紀, 苦鉄質片麻岩・苦鉄質グラノフェルス 高P/T型広域変成岩　角閃岩相・グラニュライト相"
"3d1de1","[Tr1-32_msgca_lkc] 中生代 前期三畳紀〜後期三畳紀 ノーリアン期, 石灰質片麻岩・石灰質グラノフェルス 低P/T型広域変成岩　カリ長石菫青石帯"
"3d406c","[K122-Pg12_mrhb_hg] 中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 変成した角閃石岩・角閃岩 高P/T型広域変成岩　ざくろ石帯"
"3d4e7e","[Tr22-J31_msmpe_ham] 中生代 後期三畳紀 ラディニアン期〜後期ジュラ紀 オックスフォーディアン期, 泥質片岩・泥質グラノフェルス・泥質片麻岩・泥質ミグマタイト 高P/T型広域変成岩　角閃岩相"
"3d7100","[K122-Pg12_mgama_hab] 中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 苦鉄質片麻岩・角閃岩 高P/T型広域変成岩　アルバイト黒雲母帯"
"3e00a0","[K122-Pg12_msp_hc] 中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 蛇紋岩  高P/T型広域変成岩　緑泥石帯"
"3e1de1","[Pg2-N121_msgca_lks] 新生代 古第三紀 始新世 ルテシアン期〜新第三紀 中新世 後期バーディガリアン期, 石灰質片麻岩・石灰質グラノフェルス 低P/T型広域変成岩　珪線石カリ長石帯"
"3e406c","[K112-121_mrhb_hg] 中生代 前期白亜紀 バランギニアン期〜アプチアン期, 変成した角閃石岩・角閃岩 高P/T型広域変成岩　ざくろ石帯"
"3e4f7f","[Tr22-J31_msmpe_hag] 中生代 後期三畳紀 ラディニアン期〜後期ジュラ紀 オックスフォーディアン期, 泥質片岩・泥質グラノフェルス・泥質片麻岩・泥質ミグマタイト 高P/T型広域変成岩　角閃岩相・グラニュライト相"
"3e7100","[D3-P1_mgama_hab] 古生代 後期デボン紀〜ペルム紀 シスウラリアン世, 苦鉄質片麻岩・角閃岩 高P/T型広域変成岩　アルバイト黒雲母帯"
"3f00a0","[K122-Pg12_mrpr_hc] 中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 変成かんらん岩 高P/T型広域変成岩　緑泥石帯"
"3f01a1","[K112-121_msp_hc] 中生代 前期白亜紀 バランギニアン期〜アプチアン期, 蛇紋岩  高P/T型広域変成岩　緑泥石帯"
"3f1de1","[K2-Pg12_msgca_lks] 中生代 後期白亜紀〜新生代 古第三紀 暁新世 セランディアン期, 石灰質片麻岩・石灰質グラノフェルス 低P/T型広域変成岩　珪線石カリ長石帯"
"3f406c","[Tr22-J31_mrhb_hg] 中生代 後期三畳紀 ラディニアン期〜後期ジュラ紀 オックスフォーディアン期, 変成した角閃石岩・角閃岩 高P/T型広域変成岩　ざくろ石帯"
"3f7100","[K122-Pg12_mgama_hob] 中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 苦鉄質片麻岩・角閃岩 高P/T型広域変成岩　オリゴクレース黒雲母帯"
"3f7fff","[C_sbl] 古生代 石炭紀, 汽水成層ないし海成・非海成混合層 石灰岩"
"4000a0","[K112-121_mrpr_hc] 中生代 前期白亜紀 バランギニアン期〜アプチアン期, 変成かんらん岩 高P/T型広域変成岩　緑泥石帯"
"4002a2","[Tr22-J31_msp_hc] 中生代 後期三畳紀 ラディニアン期〜後期ジュラ紀 オックスフォーディアン期, 蛇紋岩  高P/T型広域変成岩　緑泥石帯"
"401de1","[K12_msgca_lks] 中生代 前期白亜紀 アプチアン期〜アルビアン期, 石灰質片麻岩・石灰質グラノフェルス 低P/T型広域変成岩　珪線石カリ長石帯"
"40406c","[D3-P1_mrhb_hg] 古生代 後期デボン紀〜ペルム紀 シスウラリアン世, 変成した角閃石岩・角閃岩 高P/T型広域変成岩　ざくろ石帯"
"407100","[K122-Pg12_mgama_hec] 中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 苦鉄質片麻岩・角閃岩 高P/T型広域変成岩　エクロジャイト相の変成作用を経験した岩石"
"4100a0","[Tr22-J31_mrpr_hc] 中生代 後期三畳紀 ラディニアン期〜後期ジュラ紀 オックスフォーディアン期, 変成かんらん岩 高P/T型広域変成岩　緑泥石帯"
"4103a3","[D3-P1_msp_hc] 古生代 後期デボン紀〜ペルム紀 シスウラリアン世, 蛇紋岩  高P/T型広域変成岩　緑泥石帯"
"411de1","[Tr1-32_msgca_lks] 中生代 前期三畳紀〜後期三畳紀 ノーリアン期, 石灰質片麻岩・石灰質グラノフェルス 低P/T型広域変成岩　珪線石カリ長石帯"
"412d00","[D3-P1_mgmpe_ham] 古生代 後期デボン紀〜ペルム紀 シスウラリアン世, 泥質片麻岩・泥質ミグマタイト 高P/T型広域変成岩　角閃岩相"
"41406c","[Ca-O_mrhb_hg] 古生代 カンブリア紀〜オルドビス紀, 変成した角閃石岩・角閃岩 高P/T型広域変成岩　ざくろ石帯"
"41406d","[Pg2-N121_mgngb_lkc] 新生代 古第三紀 始新世 ルテシアン期〜新第三紀 中新世 後期バーディガリアン期, 斑れい岩質片麻岩・閃緑岩質片麻岩 低P/T型広域変成岩　カリ長石菫青石帯"
"417100","[D3-P1_mgama_hec] 古生代 後期デボン紀〜ペルム紀 シスウラリアン世, 苦鉄質片麻岩・角閃岩 高P/T型広域変成岩　エクロジャイト相の変成作用を経験した岩石"
"417fa4","[D2-3_som] 古生代 中期デボン紀〜後期デボン紀, 海成層 泥岩"
"4200a0","[D3-P1_mrpr_hc] 古生代 後期デボン紀〜ペルム紀 シスウラリアン世, 変成かんらん岩 高P/T型広域変成岩　緑泥石帯"
"4204a4","[Ca-O_msp_hc] 古生代 カンブリア紀〜オルドビス紀, 蛇紋岩  高P/T型広域変成岩　緑泥石帯"
"42126f","[Pg1_pu_a] 新生代 古第三紀 暁新世 ダニアン期〜始新世 ヤプレシアン期, 超苦鉄質岩類 島弧・大陸"
"421de1","[Pg2-N121_msgca_lgc] 新生代 古第三紀 始新世 ルテシアン期〜新第三紀 中新世 後期バーディガリアン期, 石灰質片麻岩・石灰質グラノフェルス 低P/T型広域変成岩　ざくろ石菫青石帯"
"422e01","[D3-P1_mgmpe_hag] 古生代 後期デボン紀〜ペルム紀 シスウラリアン世, 泥質片麻岩・泥質ミグマタイト 高P/T型広域変成岩　角閃岩相・グラニュライト相"
"42416d","[K2-Pg12_mgngb_lkc] 中生代 後期白亜紀〜新生代 古第三紀 暁新世 セランディアン期, 斑れい岩質片麻岩・閃緑岩質片麻岩 低P/T型広域変成岩　カリ長石菫青石帯"
"427100","[K122-Pg12_mgama_ham] 中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 苦鉄質片麻岩・角閃岩 高P/T型広域変成岩　角閃岩相"
"428cd6","[K122-Pg12_mscpe_hc] 中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 泥質片岩 高P/T型広域変成岩　緑泥石帯"
"4300a0","[Ca-O_mrpr_hc] 古生代 カンブリア紀〜オルドビス紀, 変成かんらん岩 高P/T型広域変成岩　緑泥石帯"
"4305a5","[K122-Pg12_msp_hg] 中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 蛇紋岩  高P/T型広域変成岩　ざくろ石帯"
"431de1","[K2-Pg12_msgca_lgc] 中生代 後期白亜紀〜新生代 古第三紀 暁新世 セランディアン期, 石灰質片麻岩・石灰質グラノフェルス 低P/T型広域変成岩　ざくろ石菫青石帯"
"432f02","[D3-P1_msgpe_ham] 古生代 後期デボン紀〜ペルム紀 シスウラリアン世, 泥質片麻岩・泥質グラノフェルス 高P/T型広域変成岩　角閃岩相"
"43426e","[Tr1-32_mgngb_lkc] 中生代 前期三畳紀〜後期三畳紀 ノーリアン期, 斑れい岩質片麻岩・閃緑岩質片麻岩 低P/T型広域変成岩　カリ長石菫青石帯"
"437100","[K112-121_mgama_ham] 中生代 前期白亜紀 バランギニアン期〜アプチアン期, 苦鉄質片麻岩・角閃岩 高P/T型広域変成岩　角閃岩相"
"438dd7","[K122-Pg12_mpype_hc] 中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 泥質千枚岩 高P/T型広域変成岩　緑泥石帯"
"438dd8","[K122-Pg12_msl_hc] 中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 粘板岩  高P/T型広域変成岩　緑泥石帯"
"4400a0","[K122-Pg12_mrpr_hg] 中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 変成かんらん岩 高P/T型広域変成岩　ざくろ石帯"
"4406a6","[K112-121_msp_hg] 中生代 前期白亜紀 バランギニアン期〜アプチアン期, 蛇紋岩  高P/T型広域変成岩　ざくろ石帯"
"441de1","[K12_msgca_lgc] 中生代 前期白亜紀 アプチアン期〜アルビアン期, 石灰質片麻岩・石灰質グラノフェルス 低P/T型広域変成岩　ざくろ石菫青石帯"
"443003","[D3-P1_msgpe_hag] 古生代 後期デボン紀〜ペルム紀 シスウラリアン世, 泥質片麻岩・泥質グラノフェルス 高P/T型広域変成岩　角閃岩相・グラニュライト相"
"44436f","[Pg2-N121_mgngb_lks] 新生代 古第三紀 始新世 ルテシアン期〜新第三紀 中新世 後期バーディガリアン期, 斑れい岩質片麻岩・閃緑岩質片麻岩 低P/T型広域変成岩　珪線石カリ長石帯"
"447100","[Tr22-J31_mgama_ham] 中生代 後期三畳紀 ラディニアン期〜後期ジュラ紀 オックスフォーディアン期, 苦鉄質片麻岩・角閃岩 高P/T型広域変成岩　角閃岩相"
"4500a0","[K112-121_mrpr_hg] 中生代 前期白亜紀 バランギニアン期〜アプチアン期, 変成かんらん岩 高P/T型広域変成岩　ざくろ石帯"
"4507a7","[Tr22-J31_msp_hg] 中生代 後期三畳紀 ラディニアン期〜後期ジュラ紀 オックスフォーディアン期, 蛇紋岩  高P/T型広域変成岩　ざくろ石帯"
"451de1","[Tr1-32_msgca_lgc] 中生代 前期三畳紀〜後期三畳紀 ノーリアン期, 石灰質片麻岩・石灰質グラノフェルス 低P/T型広域変成岩　ざくろ石菫青石帯"
"454470","[K2-Pg12_mgngb_lks] 中生代 後期白亜紀〜新生代 古第三紀 暁新世 セランディアン期, 斑れい岩質片麻岩・閃緑岩質片麻岩 低P/T型広域変成岩　珪線石カリ長石帯"
"457100","[D3-P1_mgama_ham] 古生代 後期デボン紀〜ペルム紀 シスウラリアン世, 苦鉄質片麻岩・角閃岩 高P/T型広域変成岩　角閃岩相"
"4600a0","[Tr22-J31_mrpr_hg] 中生代 後期三畳紀 ラディニアン期〜後期ジュラ紀 オックスフォーディアン期, 変成かんらん岩 高P/T型広域変成岩　ざくろ石帯"
"4608a8","[D3-P1_msp_hg] 古生代 後期デボン紀〜ペルム紀 シスウラリアン世, 蛇紋岩  高P/T型広域変成岩　ざくろ石帯"
"461de1","[Pg2-N121_msgca_lop] 新生代 古第三紀 始新世 ルテシアン期〜新第三紀 中新世 後期バーディガリアン期, 石灰質片麻岩・石灰質グラノフェルス 低P/T型広域変成岩　斜方輝石帯（グラニュライト相）"
"464571","[K12_mgngb_lks] 中生代 前期白亜紀 アプチアン期〜アルビアン期, 斑れい岩質片麻岩・閃緑岩質片麻岩 低P/T型広域変成岩　珪線石カリ長石帯"
"467100","[Ca-O_mgama_ham] 古生代 カンブリア紀〜オルドビス紀, 苦鉄質片麻岩・角閃岩 高P/T型広域変成岩　角閃岩相"
"4700a0","[D3-P1_mrpr_hg] 古生代 後期デボン紀〜ペルム紀 シスウラリアン世, 変成かんらん岩 高P/T型広域変成岩　ざくろ石帯"
"4709a9","[Ca-O_msp_hg] 古生代 カンブリア紀〜オルドビス紀, 蛇紋岩  高P/T型広域変成岩　ざくろ石帯"
"471de1","[K2-Pg12_msgca_lop] 中生代 後期白亜紀〜新生代 古第三紀 暁新世 セランディアン期, 石灰質片麻岩・石灰質グラノフェルス 低P/T型広域変成岩　斜方輝石帯（グラニュライト相）"
"474672","[Tr1-32_mgngb_lks] 中生代 前期三畳紀〜後期三畳紀 ノーリアン期, 斑れい岩質片麻岩・閃緑岩質片麻岩 低P/T型広域変成岩　珪線石カリ長石帯"
"477100","[K122-Pg12_mgama_hag] 中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 苦鉄質片麻岩・角閃岩 高P/T型広域変成岩　角閃岩相・グラニュライト相"
"4800a0","[Ca-O_mrpr_hg] 古生代 カンブリア紀〜オルドビス紀, 変成かんらん岩 高P/T型広域変成岩　ざくろ石帯"
"480aaa","[K122-Pg12_msp_hab] 中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 蛇紋岩  高P/T型広域変成岩　アルバイト黒雲母帯"
"481de1","[K12_msgca_lop] 中生代 前期白亜紀 アプチアン期〜アルビアン期, 石灰質片麻岩・石灰質グラノフェルス 低P/T型広域変成岩　斜方輝石帯（グラニュライト相）"
"484773","[Pg2-N121_mgngb_lgc] 新生代 古第三紀 始新世 ルテシアン期〜新第三紀 中新世 後期バーディガリアン期, 斑れい岩質片麻岩・閃緑岩質片麻岩 低P/T型広域変成岩　ざくろ石菫青石帯"
"487100","[K112-121_mgama_hag] 中生代 前期白亜紀 バランギニアン期〜アプチアン期, 苦鉄質片麻岩・角閃岩 高P/T型広域変成岩　角閃岩相・グラニュライト相"
"4900a0","[K122-Pg12_mrpr_hab] 中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 変成かんらん岩 高P/T型広域変成岩　アルバイト黒雲母帯"
"490bab","[D3-P1_msp_hab] 古生代 後期デボン紀〜ペルム紀 シスウラリアン世, 蛇紋岩  高P/T型広域変成岩　アルバイト黒雲母帯"
"491de1","[Tr1-32_msgca_lop] 中生代 前期三畳紀〜後期三畳紀 ノーリアン期, 石灰質片麻岩・石灰質グラノフェルス 低P/T型広域変成岩　斜方輝石帯（グラニュライト相）"
"494874","[K2-Pg12_mgngb_lgc] 中生代 後期白亜紀〜新生代 古第三紀 暁新世 セランディアン期, 斑れい岩質片麻岩・閃緑岩質片麻岩 低P/T型広域変成岩　ざくろ石菫青石帯"
"497100","[Tr22-J31_mgama_hag] 中生代 後期三畳紀 ラディニアン期〜後期ジュラ紀 オックスフォーディアン期, 苦鉄質片麻岩・角閃岩 高P/T型広域変成岩　角閃岩相・グラニュライト相"
"4a00a0","[D3-P1_mrpr_hab] 古生代 後期デボン紀〜ペルム紀 シスウラリアン世, 変成かんらん岩 高P/T型広域変成岩　アルバイト黒雲母帯"
"4a0cac","[K122-Pg12_msp_hob] 中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 蛇紋岩  高P/T型広域変成岩　オリゴクレース黒雲母帯"
"4a126f","[Pg4_pu_a] 新生代 古第三紀 漸新世 チャッティアン期〜新第三紀 中新世 アキタニアン期, 超苦鉄質岩類 島弧・大陸"
"4a1de1","[Tr1-32_msgca_mam] 中生代 前期三畳紀〜後期三畳紀 ノーリアン期, 石灰質片麻岩・石灰質グラノフェルス 中P/T型広域変成岩　角閃岩相"
"4a4975","[K12_mgngb_lgc] 中生代 前期白亜紀 アプチアン期〜アルビアン期, 斑れい岩質片麻岩・閃緑岩質片麻岩 低P/T型広域変成岩　ざくろ石菫青石帯"
"4a7100","[D3-P1_mgama_hag] 古生代 後期デボン紀〜ペルム紀 シスウラリアン世, 苦鉄質片麻岩・角閃岩 高P/T型広域変成岩　角閃岩相・グラニュライト相"
"4a84a8","[C_som] 古生代 石炭紀, 海成層 泥岩"
"4b0010","[Ca4-S_msgpe_mam] 古生代 カンブリア紀 フロンギアン世〜シルル紀, 泥質片麻岩・泥質グラノフェルス 中P/T型広域変成岩　角閃岩相"
"4b0011","[Ca4-S_mgmpe_mam] 古生代 カンブリア紀 フロンギアン世〜シルル紀, 泥質片麻岩・泥質ミグマタイト 中P/T型広域変成岩　角閃岩相"
"4b00a0","[K122-Pg12_mrpr_hob] 中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 変成かんらん岩 高P/T型広域変成岩　オリゴクレース黒雲母帯"
"4b0dad","[K122-Pg12_msp_hec] 中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 蛇紋岩  高P/T型広域変成岩　エクロジャイト相の変成作用を経験した岩石"
"4b1de1","[Ca4-S_msgca_mam] 古生代 カンブリア紀 フロンギアン世〜シルル紀, 石灰質片麻岩・石灰質グラノフェルス 中P/T型広域変成岩　角閃岩相"
"4b4a76","[Tr1-32_mgngb_lgc] 中生代 前期三畳紀〜後期三畳紀 ノーリアン期, 斑れい岩質片麻岩・閃緑岩質片麻岩 低P/T型広域変成岩　ざくろ石菫青石帯"
"4b7100","[Ca-O_mgama_hag] 古生代 カンブリア紀〜オルドビス紀, 苦鉄質片麻岩・角閃岩 高P/T型広域変成岩　角閃岩相・グラニュライト相"
"4c00a0","[K122-Pg12_mrpr_hec] 中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 変成かんらん岩 高P/T型広域変成岩　エクロジャイト相の変成作用を経験した岩石"
"4c0110","[Ca4-S_msmpe_mag] 古生代 カンブリア紀 フロンギアン世〜シルル紀, 泥質片岩・泥質グラノフェルス・泥質片麻岩・泥質ミグマタイト 中P/T型広域変成岩　角閃岩相・グラニュライト相"
"4c0111","[Ca4-S_mscpe_mam] 古生代 カンブリア紀 フロンギアン世〜シルル紀, 泥質片岩 中P/T型広域変成岩　角閃岩相"
"4c0112","[Ca4-S_msmpe_mam] 古生代 カンブリア紀 フロンギアン世〜シルル紀, 泥質片岩・泥質グラノフェルス・泥質片麻岩・泥質ミグマタイト 中P/T型広域変成岩　角閃岩相"
"4c0eae","[D3-P1_msp_hec] 古生代 後期デボン紀〜ペルム紀 シスウラリアン世, 蛇紋岩  高P/T型広域変成岩　エクロジャイト相の変成作用を経験した岩石"
"4c1de1","[K122-Pg12_msgca_mam] 中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 石灰質片麻岩・石灰質グラノフェルス 中P/T型広域変成岩　角閃岩相"
"4c4a76","[K12_mrga_lkc] 中生代 前期白亜紀 アプチアン期〜アルビアン期, 変成斑れい岩 低P/T型広域変成岩　カリ長石菫青石帯"
